st_cty,believe_in_god,relig_rank,religious_index
AL Autauga County,0.82,1,0.77
AL Baldwin County,0.82,1,0.77
AL Barbour County,0.82,1,0.77
AL Bibb County,0.82,1,0.77
AL Blount County,0.82,1,0.77
AL Bullock County,0.82,1,0.77
AL Butler County,0.82,1,0.77
AL Calhoun County,0.82,1,0.77
AL Chambers County,0.82,1,0.77
AL Cherokee County,0.82,1,0.77
AL Chilton County,0.82,1,0.77
AL Choctaw County,0.82,1,0.77
AL Clarke County,0.82,1,0.77
AL Clay County,0.82,1,0.77
AL Cleburne County,0.82,1,0.77
AL Coffee County,0.82,1,0.77
AL Colbert County,0.82,1,0.77
AL Conecuh County,0.82,1,0.77
AL Coosa County,0.82,1,0.77
AL Covington County,0.82,1,0.77
AL Crenshaw County,0.82,1,0.77
AL Cullman County,0.82,1,0.77
AL Dale County,0.82,1,0.77
AL Dallas County,0.82,1,0.77
AL Elmore County,0.82,1,0.77
AL Escambia County,0.82,1,0.77
AL Etowah County,0.82,1,0.77
AL Fayette County,0.82,1,0.77
AL Franklin County,0.82,1,0.77
AL Geneva County,0.82,1,0.77
AL Greene County,0.82,1,0.77
AL Hale County,0.82,1,0.77
AL Henry County,0.82,1,0.77
AL Houston County,0.82,1,0.77
AL Jackson County,0.82,1,0.77
AL Jefferson County,0.82,1,0.77
AL Lamar County,0.82,1,0.77
AL Lauderdale County,0.82,1,0.77
AL Lawrence County,0.82,1,0.77
AL Lee County,0.82,1,0.77
AL Limestone County,0.82,1,0.77
AL Lowndes County,0.82,1,0.77
AL Macon County,0.82,1,0.77
AL Madison County,0.82,1,0.77
AL Marengo County,0.82,1,0.77
AL Marion County,0.82,1,0.77
AL Marshall County,0.82,1,0.77
AL Mobile County,0.82,1,0.77
AL Monroe County,0.82,1,0.77
AL Montgomery County,0.82,1,0.77
AL Morgan County,0.82,1,0.77
AL Perry County,0.82,1,0.77
AL Pickens County,0.82,1,0.77
AL Pike County,0.82,1,0.77
AL Randolph County,0.82,1,0.77
AL Russell County,0.82,1,0.77
AL Shelby County,0.82,1,0.77
AL St. Clair County,0.82,1,0.77
AL Sumter County,0.82,1,0.77
AL Talladega County,0.82,1,0.77
AL Tallapoosa County,0.82,1,0.77
AL Tuscaloosa County,0.82,1,0.77
AL Walker County,0.82,1,0.77
AL Washington County,0.82,1,0.77
AL Wilcox County,0.82,1,0.77
AL Winston County,0.82,1,0.77
AR Arkansas County,0.77,5,0.7
AR Ashley County,0.77,5,0.7
AR Baxter County,0.77,5,0.7
AR Benton County,0.77,5,0.7
AR Boone County,0.77,5,0.7
AR Bradley County,0.77,5,0.7
AR Calhoun County,0.77,5,0.7
AR Carroll County,0.77,5,0.7
AR Chicot County,0.77,5,0.7
AR Clark County,0.77,5,0.7
AR Clay County,0.77,5,0.7
AR Cleburne County,0.77,5,0.7
AR Cleveland County,0.77,5,0.7
AR Columbia County,0.77,5,0.7
AR Conway County,0.77,5,0.7
AR Craighead County,0.77,5,0.7
AR Crawford County,0.77,5,0.7
AR Crittenden County,0.77,5,0.7
AR Cross County,0.77,5,0.7
AR Dallas County,0.77,5,0.7
AR Desha County,0.77,5,0.7
AR Drew County,0.77,5,0.7
AR Faulkner County,0.77,5,0.7
AR Franklin County,0.77,5,0.7
AR Fulton County,0.77,5,0.7
AR Garland County,0.77,5,0.7
AR Grant County,0.77,5,0.7
AR Greene County,0.77,5,0.7
AR Hempstead County,0.77,5,0.7
AR Hot Spring County,0.77,5,0.7
AR Howard County,0.77,5,0.7
AR Independence County,0.77,5,0.7
AR Izard County,0.77,5,0.7
AR Jackson County,0.77,5,0.7
AR Jefferson County,0.77,5,0.7
AR Johnson County,0.77,5,0.7
AR Lafayette County,0.77,5,0.7
AR Lawrence County,0.77,5,0.7
AR Lee County,0.77,5,0.7
AR Lincoln County,0.77,5,0.7
AR Little River County,0.77,5,0.7
AR Logan County,0.77,5,0.7
AR Lonoke County,0.77,5,0.7
AR Madison County,0.77,5,0.7
AR Marion County,0.77,5,0.7
AR Miller County,0.77,5,0.7
AR Mississippi County,0.77,5,0.7
AR Monroe County,0.77,5,0.7
AR Montgomery County,0.77,5,0.7
AR Nevada County,0.77,5,0.7
AR Newton County,0.77,5,0.7
AR Ouachita County,0.77,5,0.7
AR Perry County,0.77,5,0.7
AR Phillips County,0.77,5,0.7
AR Pike County,0.77,5,0.7
AR Poinsett County,0.77,5,0.7
AR Polk County,0.77,5,0.7
AR Pope County,0.77,5,0.7
AR Prairie County,0.77,5,0.7
AR Pulaski County,0.77,5,0.7
AR Randolph County,0.77,5,0.7
AR Saline County,0.77,5,0.7
AR Scott County,0.77,5,0.7
AR Searcy County,0.77,5,0.7
AR Sebastian County,0.77,5,0.7
AR Sevier County,0.77,5,0.7
AR Sharp County,0.77,5,0.7
AR St. Francis County,0.77,5,0.7
AR Stone County,0.77,5,0.7
AR Union County,0.77,5,0.7
AR Van Buren County,0.77,5,0.7
AR Washington County,0.77,5,0.7
AR White County,0.77,5,0.7
AR Woodruff County,0.77,5,0.7
AR Yell County,0.77,5,0.7
AZ Apache County,0.62,27,0.53
AZ Cochise County,0.62,27,0.53
AZ Coconino County,0.62,27,0.53
AZ Gila County,0.62,27,0.53
AZ Graham County,0.62,27,0.53
AZ Greenlee County,0.62,27,0.53
AZ La Paz County,0.62,27,0.53
AZ Maricopa County,0.62,27,0.53
AZ Mohave County,0.62,27,0.53
AZ Navajo County,0.62,27,0.53
AZ Pima County,0.62,27,0.53
AZ Pinal County,0.62,27,0.53
AZ Santa Cruz County,0.62,27,0.53
AZ Yavapai County,0.62,27,0.53
AZ Yuma County,0.62,27,0.53
CA Alameda County,0.54,35,0.49
CA Alpine County,0.54,35,0.49
CA Amador County,0.54,35,0.49
CA Butte County,0.54,35,0.49
CA Calaveras County,0.54,35,0.49
CA Colusa County,0.54,35,0.49
CA Contra Costa County,0.54,35,0.49
CA Del Norte County,0.54,35,0.49
CA El Dorado County,0.54,35,0.49
CA Fresno County,0.54,35,0.49
CA Glenn County,0.54,35,0.49
CA Humboldt County,0.54,35,0.49
CA Imperial County,0.54,35,0.49
CA Inyo County,0.54,35,0.49
CA Kern County,0.54,35,0.49
CA Kings County,0.54,35,0.49
CA Lake County,0.54,35,0.49
CA Lassen County,0.54,35,0.49
CA Los Angeles County,0.54,35,0.49
CA Madera County,0.54,35,0.49
CA Marin County,0.54,35,0.49
CA Mariposa County,0.54,35,0.49
CA Mendocino County,0.54,35,0.49
CA Merced County,0.54,35,0.49
CA Modoc County,0.54,35,0.49
CA Mono County,0.54,35,0.49
CA Monterey County,0.54,35,0.49
CA Napa County,0.54,35,0.49
CA Nevada County,0.54,35,0.49
CA Orange County,0.54,35,0.49
CA Placer County,0.54,35,0.49
CA Plumas County,0.54,35,0.49
CA Riverside County,0.54,35,0.49
CA Sacramento County,0.54,35,0.49
CA San Benito County,0.54,35,0.49
CA San Bernardino County,0.54,35,0.49
CA San Diego County,0.54,35,0.49
CA San Francisco County,0.54,35,0.49
CA San Joaquin County,0.54,35,0.49
CA San Luis Obispo County,0.54,35,0.49
CA San Mateo County,0.54,35,0.49
CA Santa Barbara County,0.54,35,0.49
CA Santa Clara County,0.54,35,0.49
CA Santa Cruz County,0.54,35,0.49
CA Shasta County,0.54,35,0.49
CA Sierra County,0.54,35,0.49
CA Siskiyou County,0.54,35,0.49
CA Solano County,0.54,35,0.49
CA Sonoma County,0.54,35,0.49
CA Stanislaus County,0.54,35,0.49
CA Sutter County,0.54,35,0.49
CA Tehama County,0.54,35,0.49
CA Trinity County,0.54,35,0.49
CA Tulare County,0.54,35,0.49
CA Tuolumne County,0.54,35,0.49
CA Ventura County,0.54,35,0.49
CA Yolo County,0.54,35,0.49
CA Yuba County,0.54,35,0.49
CO Adams County,0.55,41,0.47
CO Alamosa County,0.55,41,0.47
CO Arapahoe County,0.55,41,0.47
CO Archuleta County,0.55,41,0.47
CO Baca County,0.55,41,0.47
CO Bent County,0.55,41,0.47
CO Boulder County,0.55,41,0.47
CO Broomfield County,0.55,41,0.47
CO Chaffee County,0.55,41,0.47
CO Cheyenne County,0.55,41,0.47
CO Clear Creek County,0.55,41,0.47
CO Conejos County,0.55,41,0.47
CO Costilla County,0.55,41,0.47
CO Crowley County,0.55,41,0.47
CO Custer County,0.55,41,0.47
CO Delta County,0.55,41,0.47
CO Denver County,0.55,41,0.47
CO Dolores County,0.55,41,0.47
CO Douglas County,0.55,41,0.47
CO Eagle County,0.55,41,0.47
CO El Paso County,0.55,41,0.47
CO Elbert County,0.55,41,0.47
CO Fremont County,0.55,41,0.47
CO Garfield County,0.55,41,0.47
CO Gilpin County,0.55,41,0.47
CO Grand County,0.55,41,0.47
CO Gunnison County,0.55,41,0.47
CO Hinsdale County,0.55,41,0.47
CO Huerfano County,0.55,41,0.47
CO Jackson County,0.55,41,0.47
CO Jefferson County,0.55,41,0.47
CO Kiowa County,0.55,41,0.47
CO Kit Carson County,0.55,41,0.47
CO La Plata County,0.55,41,0.47
CO Lake County,0.55,41,0.47
CO Larimer County,0.55,41,0.47
CO Las Animas County,0.55,41,0.47
CO Lincoln County,0.55,41,0.47
CO Logan County,0.55,41,0.47
CO Mesa County,0.55,41,0.47
CO Mineral County,0.55,41,0.47
CO Moffat County,0.55,41,0.47
CO Montezuma County,0.55,41,0.47
CO Montrose County,0.55,41,0.47
CO Morgan County,0.55,41,0.47
CO Otero County,0.55,41,0.47
CO Ouray County,0.55,41,0.47
CO Park County,0.55,41,0.47
CO Phillips County,0.55,41,0.47
CO Pitkin County,0.55,41,0.47
CO Prowers County,0.55,41,0.47
CO Pueblo County,0.55,41,0.47
CO Rio Blanco County,0.55,41,0.47
CO Rio Grande County,0.55,41,0.47
CO Routt County,0.55,41,0.47
CO Saguache County,0.55,41,0.47
CO San Juan County,0.55,41,0.47
CO San Miguel County,0.55,41,0.47
CO Sedgwick County,0.55,41,0.47
CO Summit County,0.55,41,0.47
CO Teller County,0.55,41,0.47
CO Washington County,0.55,41,0.47
CO Weld County,0.55,41,0.47
CO Yuma County,0.55,41,0.47
CT Fairfield County,0.54,47,0.43
CT Hartford County,0.54,47,0.43
CT Litchfield County,0.54,47,0.43
CT Middlesex County,0.54,47,0.43
CT New Haven County,0.54,47,0.43
CT New London County,0.54,47,0.43
CT Tolland County,0.54,47,0.43
CT Windham County,0.54,47,0.43
DE Kent County,0.61,32,0.52
DE New Castle County,0.61,32,0.52
DE Sussex County,0.61,32,0.52
FL Alachua County,0.64,22,0.54
FL Baker County,0.64,22,0.54
FL Bay County,0.64,22,0.54
FL Bradford County,0.64,22,0.54
FL Brevard County,0.64,22,0.54
FL Broward County,0.64,22,0.54
FL Calhoun County,0.64,22,0.54
FL Charlotte County,0.64,22,0.54
FL Citrus County,0.64,22,0.54
FL Clay County,0.64,22,0.54
FL Collier County,0.64,22,0.54
FL Columbia County,0.64,22,0.54
FL Dixie County,0.64,22,0.54
FL Duval County,0.64,22,0.54
FL Escambia County,0.64,22,0.54
FL Flagler County,0.64,22,0.54
FL Franklin County,0.64,22,0.54
FL Gadsden County,0.64,22,0.54
FL Gilchrist County,0.64,22,0.54
FL Glades County,0.64,22,0.54
FL Gulf County,0.64,22,0.54
FL Hamilton County,0.64,22,0.54
FL Hardee County,0.64,22,0.54
FL Hendry County,0.64,22,0.54
FL Hernando County,0.64,22,0.54
FL Highlands County,0.64,22,0.54
FL Hillsborough County,0.64,22,0.54
FL Holmes County,0.64,22,0.54
FL Indian River County,0.64,22,0.54
FL Jackson County,0.64,22,0.54
FL Jefferson County,0.64,22,0.54
FL Lafayette County,0.64,22,0.54
FL Lake County,0.64,22,0.54
FL Lee County,0.64,22,0.54
FL Leon County,0.64,22,0.54
FL Levy County,0.64,22,0.54
FL Liberty County,0.64,22,0.54
FL Madison County,0.64,22,0.54
FL Manatee County,0.64,22,0.54
FL Marion County,0.64,22,0.54
FL Martin County,0.64,22,0.54
FL Miami-Dade County,0.64,22,0.54
FL Monroe County,0.64,22,0.54
FL Nassau County,0.64,22,0.54
FL Okaloosa County,0.64,22,0.54
FL Okeechobee County,0.64,22,0.54
FL Orange County,0.64,22,0.54
FL Osceola County,0.64,22,0.54
FL Palm Beach County,0.64,22,0.54
FL Pasco County,0.64,22,0.54
FL Pinellas County,0.64,22,0.54
FL Polk County,0.64,22,0.54
FL Putnam County,0.64,22,0.54
FL Santa Rosa County,0.64,22,0.54
FL Sarasota County,0.64,22,0.54
FL Seminole County,0.64,22,0.54
FL St. Johns County,0.64,22,0.54
FL St. Lucie County,0.64,22,0.54
FL Sumter County,0.64,22,0.54
FL Suwannee County,0.64,22,0.54
FL Taylor County,0.64,22,0.54
FL Union County,0.64,22,0.54
FL Volusia County,0.64,22,0.54
FL Wakulla County,0.64,22,0.54
FL Walton County,0.64,22,0.54
FL Washington County,0.64,22,0.54
GA Appling County,0.74,8,0.66
GA Atkinson County,0.74,8,0.66
GA Bacon County,0.74,8,0.66
GA Baker County,0.74,8,0.66
GA Baldwin County,0.74,8,0.66
GA Banks County,0.74,8,0.66
GA Barrow County,0.74,8,0.66
GA Bartow County,0.74,8,0.66
GA Ben Hill County,0.74,8,0.66
GA Berrien County,0.74,8,0.66
GA Bibb County,0.74,8,0.66
GA Bleckley County,0.74,8,0.66
GA Brantley County,0.74,8,0.66
GA Brooks County,0.74,8,0.66
GA Bryan County,0.74,8,0.66
GA Bulloch County,0.74,8,0.66
GA Burke County,0.74,8,0.66
GA Butts County,0.74,8,0.66
GA Calhoun County,0.74,8,0.66
GA Camden County,0.74,8,0.66
GA Candler County,0.74,8,0.66
GA Carroll County,0.74,8,0.66
GA Catoosa County,0.74,8,0.66
GA Charlton County,0.74,8,0.66
GA Chatham County,0.74,8,0.66
GA Chattahoochee County,0.74,8,0.66
GA Chattooga County,0.74,8,0.66
GA Cherokee County,0.74,8,0.66
GA Clarke County,0.74,8,0.66
GA Clay County,0.74,8,0.66
GA Clayton County,0.74,8,0.66
GA Clinch County,0.74,8,0.66
GA Cobb County,0.74,8,0.66
GA Coffee County,0.74,8,0.66
GA Colquitt County,0.74,8,0.66
GA Columbia County,0.74,8,0.66
GA Cook County,0.74,8,0.66
GA Coweta County,0.74,8,0.66
GA Crawford County,0.74,8,0.66
GA Crisp County,0.74,8,0.66
GA Dade County,0.74,8,0.66
GA Dawson County,0.74,8,0.66
GA Decatur County,0.74,8,0.66
GA Dodge County,0.74,8,0.66
GA Dooly County,0.74,8,0.66
GA Dougherty County,0.74,8,0.66
GA Douglas County,0.74,8,0.66
GA Early County,0.74,8,0.66
GA Echols County,0.74,8,0.66
GA Effingham County,0.74,8,0.66
GA Elbert County,0.74,8,0.66
GA Emanuel County,0.74,8,0.66
GA Evans County,0.74,8,0.66
GA Fannin County,0.74,8,0.66
GA Fayette County,0.74,8,0.66
GA Floyd County,0.74,8,0.66
GA Forsyth County,0.74,8,0.66
GA Franklin County,0.74,8,0.66
GA Fulton County,0.74,8,0.66
GA Gilmer County,0.74,8,0.66
GA Glascock County,0.74,8,0.66
GA Glynn County,0.74,8,0.66
GA Gordon County,0.74,8,0.66
GA Grady County,0.74,8,0.66
GA Greene County,0.74,8,0.66
GA Gwinnett County,0.74,8,0.66
GA Habersham County,0.74,8,0.66
GA Hall County,0.74,8,0.66
GA Hancock County,0.74,8,0.66
GA Haralson County,0.74,8,0.66
GA Harris County,0.74,8,0.66
GA Hart County,0.74,8,0.66
GA Heard County,0.74,8,0.66
GA Henry County,0.74,8,0.66
GA Houston County,0.74,8,0.66
GA Irwin County,0.74,8,0.66
GA Jackson County,0.74,8,0.66
GA Jasper County,0.74,8,0.66
GA Jeff Davis County,0.74,8,0.66
GA Jefferson County,0.74,8,0.66
GA Jenkins County,0.74,8,0.66
GA Johnson County,0.74,8,0.66
GA Jones County,0.74,8,0.66
GA Lamar County,0.74,8,0.66
GA Lanier County,0.74,8,0.66
GA Laurens County,0.74,8,0.66
GA Lee County,0.74,8,0.66
GA Liberty County,0.74,8,0.66
GA Lincoln County,0.74,8,0.66
GA Long County,0.74,8,0.66
GA Lowndes County,0.74,8,0.66
GA Lumpkin County,0.74,8,0.66
GA Macon County,0.74,8,0.66
GA Madison County,0.74,8,0.66
GA Marion County,0.74,8,0.66
GA Meriwether County,0.74,8,0.66
GA Miller County,0.74,8,0.66
GA Mitchell County,0.74,8,0.66
GA Monroe County,0.74,8,0.66
GA Montgomery County,0.74,8,0.66
GA Morgan County,0.74,8,0.66
GA Murray County,0.74,8,0.66
GA Muscogee County,0.74,8,0.66
GA Newton County,0.74,8,0.66
GA Oconee County,0.74,8,0.66
GA Oglethorpe County,0.74,8,0.66
GA Paulding County,0.74,8,0.66
GA Peach County,0.74,8,0.66
GA Pickens County,0.74,8,0.66
GA Pierce County,0.74,8,0.66
GA Pike County,0.74,8,0.66
GA Polk County,0.74,8,0.66
GA Pulaski County,0.74,8,0.66
GA Putnam County,0.74,8,0.66
GA Quitman County,0.74,8,0.66
GA Rabun County,0.74,8,0.66
GA Randolph County,0.74,8,0.66
GA Richmond County,0.74,8,0.66
GA Rockdale County,0.74,8,0.66
GA Schley County,0.74,8,0.66
GA Screven County,0.74,8,0.66
GA Seminole County,0.74,8,0.66
GA Spalding County,0.74,8,0.66
GA Stephens County,0.74,8,0.66
GA Stewart County,0.74,8,0.66
GA Sumter County,0.74,8,0.66
GA Talbot County,0.74,8,0.66
GA Taliaferro County,0.74,8,0.66
GA Tattnall County,0.74,8,0.66
GA Taylor County,0.74,8,0.66
GA Telfair County,0.74,8,0.66
GA Terrell County,0.74,8,0.66
GA Thomas County,0.74,8,0.66
GA Tift County,0.74,8,0.66
GA Toombs County,0.74,8,0.66
GA Towns County,0.74,8,0.66
GA Treutlen County,0.74,8,0.66
GA Troup County,0.74,8,0.66
GA Turner County,0.74,8,0.66
GA Twiggs County,0.74,8,0.66
GA Union County,0.74,8,0.66
GA Upson County,0.74,8,0.66
GA Walker County,0.74,8,0.66
GA Walton County,0.74,8,0.66
GA Ware County,0.74,8,0.66
GA Warren County,0.74,8,0.66
GA Washington County,0.74,8,0.66
GA Wayne County,0.74,8,0.66
GA Webster County,0.74,8,0.66
GA Wheeler County,0.74,8,0.66
GA White County,0.74,8,0.66
GA Whitfield County,0.74,8,0.66
GA Wilcox County,0.74,8,0.66
GA Wilkes County,0.74,8,0.66
GA Wilkinson County,0.74,8,0.66
GA Worth County,0.74,8,0.66
HI Hawaii County,0.62,41,0.47
HI Honolulu County,0.62,41,0.47
HI Kauai County,0.62,41,0.47
HI Maui County,0.62,41,0.47
IA Adair County,0.66,19,0.55
IA Adams County,0.66,19,0.55
IA Allamakee County,0.66,19,0.55
IA Appanoose County,0.66,19,0.55
IA Audubon County,0.66,19,0.55
IA Benton County,0.66,19,0.55
IA Black Hawk County,0.66,19,0.55
IA Boone County,0.66,19,0.55
IA Bremer County,0.66,19,0.55
IA Buchanan County,0.66,19,0.55
IA Buena Vista County,0.66,19,0.55
IA Butler County,0.66,19,0.55
IA Calhoun County,0.66,19,0.55
IA Carroll County,0.66,19,0.55
IA Cass County,0.66,19,0.55
IA Cedar County,0.66,19,0.55
IA Cerro Gordo County,0.66,19,0.55
IA Cherokee County,0.66,19,0.55
IA Chickasaw County,0.66,19,0.55
IA Clarke County,0.66,19,0.55
IA Clay County,0.66,19,0.55
IA Clayton County,0.66,19,0.55
IA Clinton County,0.66,19,0.55
IA Crawford County,0.66,19,0.55
IA Dallas County,0.66,19,0.55
IA Davis County,0.66,19,0.55
IA Decatur County,0.66,19,0.55
IA Delaware County,0.66,19,0.55
IA Des Moines County,0.66,19,0.55
IA Dickinson County,0.66,19,0.55
IA Dubuque County,0.66,19,0.55
IA Emmet County,0.66,19,0.55
IA Fayette County,0.66,19,0.55
IA Floyd County,0.66,19,0.55
IA Franklin County,0.66,19,0.55
IA Fremont County,0.66,19,0.55
IA Greene County,0.66,19,0.55
IA Grundy County,0.66,19,0.55
IA Guthrie County,0.66,19,0.55
IA Hamilton County,0.66,19,0.55
IA Hancock County,0.66,19,0.55
IA Hardin County,0.66,19,0.55
IA Harrison County,0.66,19,0.55
IA Henry County,0.66,19,0.55
IA Howard County,0.66,19,0.55
IA Humboldt County,0.66,19,0.55
IA Ida County,0.66,19,0.55
IA Iowa County,0.66,19,0.55
IA Jackson County,0.66,19,0.55
IA Jasper County,0.66,19,0.55
IA Jefferson County,0.66,19,0.55
IA Johnson County,0.66,19,0.55
IA Jones County,0.66,19,0.55
IA Keokuk County,0.66,19,0.55
IA Kossuth County,0.66,19,0.55
IA Lee County,0.66,19,0.55
IA Linn County,0.66,19,0.55
IA Louisa County,0.66,19,0.55
IA Lucas County,0.66,19,0.55
IA Lyon County,0.66,19,0.55
IA Madison County,0.66,19,0.55
IA Mahaska County,0.66,19,0.55
IA Marion County,0.66,19,0.55
IA Marshall County,0.66,19,0.55
IA Mills County,0.66,19,0.55
IA Mitchell County,0.66,19,0.55
IA Monona County,0.66,19,0.55
IA Monroe County,0.66,19,0.55
IA Montgomery County,0.66,19,0.55
IA Muscatine County,0.66,19,0.55
IA Osceola County,0.66,19,0.55
IA Page County,0.66,19,0.55
IA Palo Alto County,0.66,19,0.55
IA Plymouth County,0.66,19,0.55
IA Pocahontas County,0.66,19,0.55
IA Polk County,0.66,19,0.55
IA Pottawattamie County,0.66,19,0.55
IA Poweshiek County,0.66,19,0.55
IA Ringgold County,0.66,19,0.55
IA Sac County,0.66,19,0.55
IA Scott County,0.66,19,0.55
IA Shelby County,0.66,19,0.55
IA Sioux County,0.66,19,0.55
IA Story County,0.66,19,0.55
IA Tama County,0.66,19,0.55
IA Taylor County,0.66,19,0.55
IA Union County,0.66,19,0.55
IA Van Buren County,0.66,19,0.55
IA Wapello County,0.66,19,0.55
IA Warren County,0.66,19,0.55
IA Washington County,0.66,19,0.55
IA Wayne County,0.66,19,0.55
IA Webster County,0.66,19,0.55
IA Winnebago County,0.66,19,0.55
IA Winneshiek County,0.66,19,0.55
IA Woodbury County,0.66,19,0.55
IA Worth County,0.66,19,0.55
