state,county,Th1_Historic_Undervaccination,Th2_Sociodemographic_Barriers,Th3_Resource_constrained_Healthcare_System,Th4_Healthcare_Accessibility_Barriers,Th5_Irregular_Care_Seeking_Behavior,CVAC
Alabama,Autauga County,0.419611589,0.231454951,0.827761859,0.484240688,0.830308819,0.607768227
Alabama,Baldwin County,0.228589621,0.150270614,0.170964661,0.391276663,0.726838586,0.227952881
Alabama,Barbour County,0.505571474,0.991404011,0.621776504,0.966252786,0.694683222,0.88506845
Alabama,Bibb County,0.41006049,0.888252149,0.335880293,0.842088507,0.834447628,0.76440624
Alabama,Blount County,0.440305635,0.716014008,0.850684495,0.580388411,0.837949698,0.795288125
Alabama,Bullock County,0.556829035,0.963069086,0.363896848,0.971665075,0.76472461,0.843043617
Alabama,Butler County,0.521171601,0.9417383,0.716969118,0.8802929,0.719197708,0.88475008
Alabama,Calhoun County,0.455587393,0.666029927,0.323782235,0.738936644,0.769181789,0.657752308
Alabama,Chambers County,0.361986628,0.912448265,0.70678128,0.900986947,0.594396689,0.808341293
Alabama,Cherokee County,0.303406558,0.710283349,0.688634193,0.559694365,0.82585164,0.699140401
Alabama,Chilton County,0.46864056,0.860553964,0.678127985,0.76440624,0.847182426,0.842406877
Alabama,Choctaw County,0.554918816,0.88379497,0.52785737,0.94333015,0.665393187,0.830627189
Alabama,Clarke County,0.566061764,0.952562878,0.375994906,0.919134034,0.729067176,0.82362305
Alabama,Clay County,0.374721426,0.666348297,0.47150589,0.674307545,0.818847501,0.678127985
Alabama,Cleburne County,0.371856097,0.64947469,0.864374403,0.755810252,0.860553964,0.814390322
Alabama,Coffee County,0.29608405,0.333970073,0.434574976,0.799108564,0.803565743,0.567335244
Alabama,Colbert County,0.198344476,0.7055078,0.336517033,0.664438077,0.64565425,0.525310411
Alabama,Conecuh County,0.524673671,0.917223814,0.76440624,0.908309456,0.671442216,0.886978669
Alabama,Coosa County,0.458134352,0.76185928,0.843680357,0.455269023,0.606494747,0.714422159
Alabama,Covington County,0.487424387,0.676217765,0.672397326,0.773638968,0.815982171,0.795606495
Alabama,Crenshaw County,0.440942375,0.858962114,0.663801337,0.839541547,0.811524992,0.841451767
Alabama,Cullman County,0.274753263,0.554918816,0.324737345,0.553645336,0.810251512,0.512257243
Alabama,Dale County,0.427252467,0.582935371,0.82425979,0.732569245,0.818529131,0.787647246
Alabama,Dallas County,0.52722063,0.88283986,0.387774594,0.978669214,0.570518943,0.776822668
Alabama,DeKalb County,0.396688953,0.857688634,0.541547278,0.801973894,0.841770137,0.799108564
Alabama,Elmore County,0.460999682,0.207577205,0.76313276,0.510665393,0.828080229,0.600127348
Alabama,Escambia County,0.538681948,0.94014645,0.573065903,0.795606495,0.844317096,0.861190704
Alabama,Etowah County,0.397325692,0.677809615,0.35307227,0.786055396,0.695956702,0.643744031
Alabama,Fayette County,0.375039796,0.730022286,0.23495702,0.854823305,0.819484241,0.680993314
Alabama,Franklin County,0.425023878,0.898758357,0.591531359,0.733842725,0.898758357,0.82553327
Alabama,Geneva County,0.407831901,0.786692136,0.786055396,0.861190704,0.732250876,0.829672079
Alabama,Greene County,0.536134989,0.974848774,0.711556829,0.990130532,0.532951289,0.876472461
Alabama,Hale County,0.494110156,0.895574658,0.756765361,0.94046482,0.568290353,0.853868195
Alabama,Henry County,0.430436167,0.41292582,0.683858644,0.834447628,0.583890481,0.654250239
Alabama,Houston County,0.420885068,0.632919452,0.162050302,0.838586437,0.712193569,0.598853868
Alabama,Jackson County,0.275071633,0.716969118,0.476599809,0.560967845,0.755810252,0.606494747
Alabama,Jefferson County,0.300222859,0.420248329,0.150588984,0.866284623,0.650429799,0.4692773
Alabama,Lamar County,0.41228908,0.800700414,0.423432028,0.88411334,0.798471824,0.76727157
Alabama,Lauderdale County,0.199936326,0.566380134,0.309137217,0.812161732,0.729703916,0.548551417
Alabama,Lawrence County,0.321872015,0.810251512,0.738618274,0.774912448,0.785100287,0.797516714
Alabama,Lee County,0.449538364,0.338745622,0.507800064,0.505889844,0.897166507,0.578796562
Alabama,Limestone County,0.287806431,0.172238141,0.64565425,0.427252467,0.841133397,0.463865011
Alabama,Lowndes County,0.373447947,0.936007641,0.917542184,0.94269341,0.557147405,0.871060172
Alabama,Macon County,0.565425024,0.870423432,0.59025788,0.921362623,0.618592805,0.828716969
Alabama,Madison County,0.301496339,0.102833493,0.199936326,0.477554919,0.776822668,0.29162687
Alabama,Marengo County,0.500159185,0.922636103,0.566698504,0.934734161,0.676536135,0.836676218
Alabama,Marion County,0.473734479,0.830308819,0.854504935,0.76249602,0.838586437,0.88124801
Alabama,Marshall County,0.281439032,0.641515441,0.438713785,0.701368991,0.830627189,0.638650111
Alabama,Mobile County,0.231136581,0.714103789,0.368990767,0.826488379,0.698185291,0.621458134
Alabama,Monroe County,0.567016874,0.94364852,0.631327603,0.973256925,0.741165234,0.900986947
Alabama,Montgomery County,0.288124801,0.571792423,0.327602674,0.849092646,0.702642471,0.58834766
Alabama,Morgan County,0.255332697,0.558739255,0.429162687,0.681630054,0.804202483,0.58611907
Alabama,Perry County,0.601719198,0.966571156,0.665393187,0.949697549,0.687360713,0.903215536
Alabama,Pickens County,0.417382999,0.871378542,0.439668895,0.936644381,0.699140401,0.782553327
Alabama,Pike County,0.489971347,0.900031837,0.360713149,0.872970392,0.793696275,0.793377905
Alabama,Randolph County,0.461636422,0.744667303,0.522445081,0.833174148,0.798790194,0.781598217
Alabama,Russell County,0.387456224,0.780006367,0.784145177,0.948742439,0.697230181,0.835084368
Alabama,St. Clair County,0.318051576,0.333651703,0.76536135,0.399235912,0.839541547,0.560967845
Alabama,Shelby County,0.382680675,0.023559376,0.202801656,0.283667622,0.848774276,0.253740847
Alabama,Sumter County,0.618274435,0.977714104,0.901305317,0.982808023,0.702324101,0.959567017
Alabama,Talladega County,0.490289717,0.785418656,0.742438714,0.902897167,0.676854505,0.835402738
Alabama,Tallapoosa County,0.437121936,0.710920089,0.249283668,0.88379497,0.622731614,0.642152181
Alabama,Tuscaloosa County,0.419293219,0.420885068,0.379496975,0.64883795,0.853231455,0.583253741
Alabama,Walker County,0.417064629,0.728748806,0.305316778,0.791786055,0.769818529,0.680356574
Alabama,Washington County,0.496338746,0.94301178,0.717287488,0.556192295,0.82234957,0.82234957
Alabama,Wilcox County,0.917542184,0.994906081,0.52849411,0.978032474,0.665393187,0.94396689
Alabama,Winston County,0.41451767,0.82457816,0.557465775,0.790830946,0.848137536,0.798790194
Alaska,Aleutians East Borough,0.964660936,0.686405603,0.121935689,0.975167144,0.983444763,0.872970392
Alaska,Aleutians West Census Area,0.967844635,0.372811207,0.033110474,0.957020057,0.984399873,0.76599809
Alaska,Anchorage Municipality,0.789239096,0.129258198,0.108564152,0.515759312,0.966252786,0.505253104
Alaska,Bethel Census Area,0.99840815,0.853231455,0.009232728,0.968163005,0.978669214,0.890480739
Alaska,Bristol Bay Borough,0.886978669,0.172556511,0.006685769,0.960522127,0.977714104,0.677809615
