FIPS,state,county,Th1_Lower Coverage and Higher Refusal Rates,Th2_Lack of Access to Infomation,Th2_Socio-economically disadvantaged,Th3_Low Healthcare System Capacity,Th3_Weak Healthcare System,Th4_Barriers due to cost,Th4_Barriers due to Transportation,Th5_Lack of Designated Medical Home,Th5_Lack of Routine Care Visits
01001,Alabama,Autauga County,0.419611589,0.170646291,0.359439669,0.682266794,0.744030564,0.660936008,0.320280166,0.756128621,0.736389685
01003,Alabama,Baldwin County,0.228589621,0.154091054,0.228589621,0.243234639,0.312639287,0.740528494,0.11779688,0.690544413,0.58834766
01005,Alabama,Barbour County,0.505571474,0.970709965,0.971665075,0.556829035,0.594715059,0.842406877,0.946513849,0.789875836,0.447309774
01007,Alabama,Bibb County,0.41006049,0.827443489,0.870423432,0.125756129,0.680674944,0.818210761,0.64501751,0.787965616,0.715058898
01009,Alabama,Blount County,0.440305635,0.850366125,0.522445081,0.923272843,0.544730977,0.82139446,0.267749124,0.735752945,0.783190067
01011,Alabama,Bullock County,0.556829035,0.911493155,0.946832219,0.214581344,0.624641834,0.844953836,0.956701687,0.901623687,0.438395415
01013,Alabama,Butler County,0.521171601,0.865329513,0.951607768,0.464820121,0.806431073,0.728748806,0.817255651,0.794014645,0.47309774
01015,Alabama,Calhoun County,0.455587393,0.504934734,0.785737026,0.087870105,0.702642471,0.76727157,0.519898122,0.744985673,0.602037568
01017,Alabama,Chambers County,0.361986628,0.845908946,0.906717606,0.624960204,0.628462273,0.800382044,0.793059535,0.70646291,0.416746259
01019,Alabama,Cherokee County,0.303406558,0.771728749,0.58739255,0.540592168,0.691499522,0.723336517,0.340974212,0.724609997,0.756765361
01021,Alabama,Chilton County,0.46864056,0.900986947,0.740210124,0.791786055,0.430436167,0.886660299,0.438077046,0.775549188,0.774275708
01023,Alabama,Choctaw County,0.554918816,0.734797835,0.952244508,0.397325692,0.632282713,0.800382044,0.915950334,0.759949061,0.438395415
01025,Alabama,Clarke County,0.566061764,0.857370264,0.983444763,0.326647564,0.52913085,0.778732888,0.861827443,0.800700414,0.480101878
01027,Alabama,Clay County,0.374721426,0.546004457,0.745940783,0.304043298,0.661254378,0.800382044,0.402419612,0.759949061,0.700413881
01029,Alabama,Cleburne County,0.371856097,0.690544413,0.568608723,0.902578797,0.59089462,0.874243871,0.438077046,0.770455269,0.82553327
01031,Alabama,Coffee County,0.29608405,0.323463865,0.389684814,0.418656479,0.506526584,0.783826807,0.593441579,0.770455269,0.652976759
01033,Alabama,Colbert County,0.198344476,0.662846227,0.689907673,0.044253422,0.76345113,0.665074817,0.524355301,0.669850366,0.501114295
01035,Alabama,Conecuh County,0.524673671,0.82457816,0.93950971,0.519898122,0.813435212,0.88220312,0.728430436,0.770455269,0.434574976
01037,Alabama,Coosa County,0.458134352,0.666985037,0.785418656,0.896211398,0.558739255,0.694683222,0.251830627,0.687679083,0.447309774
01039,Alabama,Covington County,0.487424387,0.602355938,0.702642471,0.404966571,0.811206622,0.833174148,0.505571474,0.753263292,0.700413881
01041,Alabama,Crenshaw County,0.440942375,0.944921999,0.691817892,0.421840178,0.783190067,0.728748806,0.728430436,0.787965616,0.652976759
01043,Alabama,Cullman County,0.274753263,0.562559694,0.535179879,0.064629099,0.728748806,0.833174148,0.224769182,0.70646291,0.730022286
01045,Alabama,Dale County,0.427252467,0.497930595,0.64692773,0.868513212,0.546959567,0.853868195,0.423750398,0.783826807,0.676217765
01047,Alabama,Dallas County,0.52722063,0.695956702,0.990130532,0.066539319,0.802292264,0.833174148,0.986628462,0.731614136,0.365488698
01049,Alabama,DeKalb County,0.396688953,0.852276345,0.781598217,0.35211716,0.692773002,0.905444126,0.476918179,0.759949061,0.774275708
