st_cty,vac_rate,low,med,high,tot_hesi,Th1_Historic_Undervaccination,Th2_Sociodemographic_Barriers,Th3_Resource_constrained_Healthcare_System,Th4_Healthcare_Accessibility_Barriers,party,believe_in_god,relig_rank,religious_index
AL Autauga County,35,0.22,0.17,0.13,0.52,0.419611589,0.231454951,0.827761859,0.484240688,0,0.82,1,0.77
AL Baldwin County,42.2,0.2,0.15,0.12,0.47,0.228589621,0.150270614,0.170964661,0.391276663,0,0.82,1,0.77
AL Barbour County,35.4,0.23,0.17,0.13,0.53,0.505571474,0.991404011,0.621776504,0.966252786,0,0.82,1,0.77
AL Bibb County,30.3,0.25,0.18,0.14,0.57,0.41006049,0.888252149,0.335880293,0.842088507,0,0.82,1,0.77
AL Blount County,24.9,0.24,0.19,0.14,0.57,0.440305635,0.716014008,0.850684495,0.580388411,0,0.82,1,0.77
AL Bullock County,44.4,0.23,0.17,0.13,0.53,0.556829035,0.963069086,0.363896848,0.971665075,1,0.82,1,0.77
AL Butler County,35.3,0.23,0.18,0.13,0.54,0.521171601,0.9417383,0.716969118,0.8802929,0,0.82,1,0.77
AL Calhoun County,38.3,0.24,0.18,0.14,0.56,0.455587393,0.666029927,0.323782235,0.738936644,0,0.82,1,0.77
AL Chambers County,26.1,0.24,0.18,0.14,0.56,0.361986628,0.912448265,0.70678128,0.900986947,0,0.82,1,0.77
AL Cherokee County,27.2,0.24,0.18,0.14,0.56,0.303406558,0.710283349,0.688634193,0.559694365,0,0.82,1,0.77
AL Chilton County,28.9,0.24,0.18,0.14,0.56,0.46864056,0.860553964,0.678127985,0.76440624,0,0.82,1,0.77
AL Choctaw County,54.4,0.24,0.17,0.13,0.54,0.554918816,0.88379497,0.52785737,0.94333015,0,0.82,1,0.77
AL Clarke County,41.7,0.24,0.17,0.13,0.54,0.566061764,0.952562878,0.375994906,0.919134034,0,0.82,1,0.77
AL Clay County,35.7,0.24,0.18,0.14,0.56,0.374721426,0.666348297,0.47150589,0.674307545,0,0.82,1,0.77
AL Cleburne County,25.7,0.24,0.18,0.14,0.56,0.371856097,0.64947469,0.864374403,0.755810252,0,0.82,1,0.77
AL Coffee County,31.6,0.23,0.18,0.13,0.54,0.29608405,0.333970073,0.434574976,0.799108564,0,0.82,1,0.77
AL Colbert County,41.5,0.23,0.17,0.13,0.53,0.198344476,0.7055078,0.336517033,0.664438077,0,0.82,1,0.77
AL Conecuh County,38.4,0.24,0.17,0.13,0.54,0.524673671,0.917223814,0.76440624,0.908309456,0,0.82,1,0.77
AL Coosa County,35.3,0.24,0.18,0.14,0.56,0.458134352,0.76185928,0.843680357,0.455269023,0,0.82,1,0.77
AL Covington County,30.8,0.23,0.18,0.13,0.54,0.487424387,0.676217765,0.672397326,0.773638968,0,0.82,1,0.77
AL Crenshaw County,30.2,0.23,0.18,0.13,0.54,0.440942375,0.858962114,0.663801337,0.839541547,0,0.82,1,0.77
AL Cullman County,31.7,0.23,0.18,0.14,0.55,0.274753263,0.554918816,0.324737345,0.553645336,0,0.82,1,0.77
AL Dale County,42.8,0.24,0.18,0.13,0.55,0.427252467,0.582935371,0.82425979,0.732569245,0,0.82,1,0.77
AL Dallas County,39.1,0.25,0.18,0.14,0.57,0.52722063,0.88283986,0.387774594,0.978669214,1,0.82,1,0.77
AL Elmore County,38.3,0.22,0.17,0.13,0.52,0.460999682,0.207577205,0.76313276,0.510665393,0,0.82,1,0.77
AL Escambia County,30.3,0.24,0.17,0.13,0.54,0.538681948,0.94014645,0.573065903,0.795606495,0,0.82,1,0.77
AL Etowah County,33.9,0.24,0.18,0.14,0.56,0.397325692,0.677809615,0.35307227,0.786055396,0,0.82,1,0.77
AL Fayette County,29.1,0.24,0.19,0.14,0.57,0.375039796,0.730022286,0.23495702,0.854823305,0,0.82,1,0.77
AL Franklin County,37.4,0.23,0.17,0.13,0.53,0.425023878,0.898758357,0.591531359,0.733842725,0,0.82,1,0.77
AL Geneva County,31.7,0.24,0.18,0.13,0.55,0.407831901,0.786692136,0.786055396,0.861190704,0,0.82,1,0.77
AL Greene County,45,0.25,0.18,0.14,0.57,0.536134989,0.974848774,0.711556829,0.990130532,1,0.82,1,0.77
AL Hale County,50.7,0.25,0.18,0.14,0.57,0.494110156,0.895574658,0.756765361,0.94046482,1,0.82,1,0.77
AL Henry County,38,0.24,0.18,0.13,0.55,0.430436167,0.41292582,0.683858644,0.834447628,0,0.82,1,0.77
AL Houston County,35.7,0.24,0.18,0.13,0.55,0.420885068,0.632919452,0.162050302,0.838586437,0,0.82,1,0.77
AL Jackson County,39.8,0.25,0.19,0.15,0.59,0.275071633,0.716969118,0.476599809,0.560967845,0,0.82,1,0.77
AL Jefferson County,51.4,0.2,0.15,0.11,0.46,0.300222859,0.420248329,0.150588984,0.866284623,1,0.82,1,0.77
AL Lamar County,35.2,0.24,0.19,0.14,0.57,0.41228908,0.800700414,0.423432028,0.88411334,0,0.82,1,0.77
AL Lauderdale County,42.1,0.23,0.17,0.13,0.53,0.199936326,0.566380134,0.309137217,0.812161732,0,0.82,1,0.77
AL Lawrence County,39.1,0.22,0.17,0.13,0.52,0.321872015,0.810251512,0.738618274,0.774912448,0,0.82,1,0.77
AL Lee County,34,0.19,0.14,0.11,0.44,0.449538364,0.338745622,0.507800064,0.505889844,0,0.82,1,0.77
AL Limestone County,29.8,0.2,0.16,0.12,0.48,0.287806431,0.172238141,0.64565425,0.427252467,0,0.82,1,0.77
AL Lowndes County,45.3,0.22,0.17,0.13,0.52,0.373447947,0.936007641,0.917542184,0.94269341,1,0.82,1,0.77
AL Macon County,42.7,0.23,0.17,0.13,0.53,0.565425024,0.870423432,0.59025788,0.921362623,1,0.82,1,0.77
AL Madison County,52.8,0.19,0.14,0.11,0.44,0.301496339,0.102833493,0.199936326,0.477554919,0,0.82,1,0.77
AL Marengo County,45.7,0.25,0.18,0.14,0.57,0.500159185,0.922636103,0.566698504,0.934734161,1,0.82,1,0.77
AL Marion County,29.8,0.24,0.18,0.14,0.56,0.473734479,0.830308819,0.854504935,0.76249602,0,0.82,1,0.77
