state_po,county_name,party,candidatevotes,totalvotes
AL,Autauga,DEMOCRAT,7503,27770
AL,Autauga,OTHER,429,27770
AL,Autauga,REPUBLICAN,19838,27770
AL,Baldwin,DEMOCRAT,24578,109679
AL,Baldwin,OTHER,1557,109679
AL,Baldwin,REPUBLICAN,83544,109679
AL,Barbour,DEMOCRAT,4816,10518
AL,Barbour,OTHER,80,10518
AL,Barbour,REPUBLICAN,5622,10518
AL,Bibb,DEMOCRAT,1986,9595
AL,Bibb,OTHER,84,9595
AL,Bibb,REPUBLICAN,7525,9595
AL,Blount,DEMOCRAT,2640,27588
AL,Blount,OTHER,237,27588
AL,Blount,REPUBLICAN,24711,27588
AL,Bullock,DEMOCRAT,3446,4613
AL,Bullock,OTHER,21,4613
AL,Bullock,REPUBLICAN,1146,4613
AL,Butler,DEMOCRAT,3965,9488
AL,Butler,OTHER,65,9488
AL,Butler,REPUBLICAN,5458,9488
AL,Calhoun,DEMOCRAT,15216,50983
AL,Calhoun,OTHER,666,50983
AL,Calhoun,REPUBLICAN,35101,50983
AL,Chambers,DEMOCRAT,6365,15284
AL,Chambers,OTHER,166,15284
AL,Chambers,REPUBLICAN,8753,15284
AL,Cherokee,DEMOCRAT,1624,12301
AL,Cherokee,OTHER,94,12301
AL,Cherokee,REPUBLICAN,10583,12301
AL,Chilton,DEMOCRAT,3073,19310
AL,Chilton,OTHER,152,19310
AL,Chilton,REPUBLICAN,16085,19310
AL,Choctaw,DEMOCRAT,3127,7464
AL,Choctaw,OTHER,41,7464
AL,Choctaw,REPUBLICAN,4296,7464
AL,Clarke,DEMOCRAT,5755,13135
AL,Clarke,OTHER,56,13135
AL,Clarke,REPUBLICAN,7324,13135
AL,Clay,DEMOCRAT,1267,6930
AL,Clay,OTHER,62,6930
AL,Clay,REPUBLICAN,5601,6930
AL,Cleburne,DEMOCRAT,675,7227
AL,Cleburne,OTHER,68,7227
AL,Cleburne,REPUBLICAN,6484,7227
AL,Coffee,DEMOCRAT,5076,22275
AL,Coffee,OTHER,300,22275
AL,Coffee,REPUBLICAN,16899,22275
AL,Colbert,DEMOCRAT,8343,27886
AL,Colbert,OTHER,340,27886
AL,Colbert,REPUBLICAN,19203,27886
AL,Conecuh,DEMOCRAT,2966,6441
AL,Conecuh,OTHER,33,6441
AL,Conecuh,REPUBLICAN,3442,6441
AL,Coosa,DEMOCRAT,1796,5479
AL,Coosa,OTHER,52,5479
AL,Coosa,REPUBLICAN,3631,5479
AL,Covington,DEMOCRAT,2721,17430
AL,Covington,OTHER,123,17430
AL,Covington,REPUBLICAN,14586,17430
AL,Crenshaw,DEMOCRAT,1700,6617
AL,Crenshaw,OTHER,53,6617
AL,Crenshaw,REPUBLICAN,4864,6617
AL,Cullman,DEMOCRAT,4478,41851
AL,Cullman,OTHER,493,41851
AL,Cullman,REPUBLICAN,36880,41851
AL,Dale,DEMOCRAT,5170,19738
AL,Dale,OTHER,265,19738
AL,Dale,REPUBLICAN,14303,19738
AL,Dallas,DEMOCRAT,12230,17864
AL,Dallas,OTHER,110,17864
AL,Dallas,REPUBLICAN,5524,17864
AL,Dekalb,DEMOCRAT,4281,29356
AL,Dekalb,OTHER,308,29356
AL,Dekalb,REPUBLICAN,24767,29356
AL,Elmore,DEMOCRAT,10367,41030
AL,Elmore,OTHER,499,41030
AL,Elmore,REPUBLICAN,30164,41030
AL,Escambia,DEMOCRAT,4918,15910
AL,Escambia,OTHER,123,15910
AL,Escambia,REPUBLICAN,10869,15910
AL,Etowah,DEMOCRAT,11567,47728
AL,Etowah,OTHER,633,47728
AL,Etowah,REPUBLICAN,35528,47728
AL,Fayette,DEMOCRAT,1395,8766
AL,Fayette,OTHER,71,8766
AL,Fayette,REPUBLICAN,7300,8766
AL,Franklin,DEMOCRAT,2086,12578
AL,Franklin,OTHER,116,12578
AL,Franklin,REPUBLICAN,10376,12578
AL,Geneva,DEMOCRAT,1595,12545
AL,Geneva,OTHER,102,12545
AL,Geneva,REPUBLICAN,10848,12545
AL,Greene,DEMOCRAT,3884,4775
AL,Greene,OTHER,16,4775
AL,Greene,REPUBLICAN,875,4775
AL,Hale,DEMOCRAT,4663,7900
AL,Hale,OTHER,45,7900
AL,Hale,REPUBLICAN,3192,7900
AL,Henry,DEMOCRAT,2606,9298
AL,Henry,OTHER,85,9298
AL,Henry,REPUBLICAN,6607,9298
AL,Houston,DEMOCRAT,12917,46173
AL,Houston,OTHER,638,46173
AL,Houston,REPUBLICAN,32618,46173
AL,Jackson,DEMOCRAT,3717,23636
AL,Jackson,OTHER,249,23636
AL,Jackson,REPUBLICAN,19670,23636
AL,Jefferson,DEMOCRAT,181688,325848
AL,Jefferson,OTHER,5317,325848
AL,Jefferson,REPUBLICAN,138843,325848
AL,Lamar,DEMOCRAT,978,7193
AL,Lamar,OTHER,41,7193
AL,Lamar,REPUBLICAN,6174,7193
AL,Lauderdale,DEMOCRAT,11915,44339
AL,Lauderdale,OTHER,703,44339
AL,Lauderdale,REPUBLICAN,31721,44339
AL,Lawrence,DEMOCRAT,3562,16031
AL,Lawrence,OTHER,147,16031
AL,Lawrence,REPUBLICAN,12322,16031
AL,Lee,DEMOCRAT,27860,71449
AL,Lee,OTHER,1368,71449
AL,Lee,REPUBLICAN,42221,71449
AL,Limestone,DEMOCRAT,13672,49235
AL,Limestone,OTHER,923,49235
AL,Limestone,REPUBLICAN,34640,49235
AL,Lowndes,DEMOCRAT,4972,6835
AL,Lowndes,OTHER,27,6835
AL,Lowndes,REPUBLICAN,1836,6835
AL,Macon,DEMOCRAT,7108,8723
AL,Macon,OTHER,74,8723
AL,Macon,REPUBLICAN,1541,8723
AL,Madison,DEMOCRAT,87286,194767
AL,Madison,OTHER,4701,194767
AL,Madison,REPUBLICAN,102780,194767
AL,Marengo,DEMOCRAT,5488,10900
