state,county,party,votes,totalvotes
AL,AUTAUGA,DEMOCRAT,7503,27770
AL,AUTAUGA,OTHER,429,27770
AL,AUTAUGA,REPUBLICAN,19838,27770
AL,BALDWIN,DEMOCRAT,24578,109679
AL,BALDWIN,OTHER,1557,109679
AL,BALDWIN,REPUBLICAN,83544,109679
AL,BARBOUR,DEMOCRAT,4816,10518
AL,BARBOUR,OTHER,80,10518
AL,BARBOUR,REPUBLICAN,5622,10518
AL,BIBB,DEMOCRAT,1986,9595
AL,BIBB,OTHER,84,9595
AL,BIBB,REPUBLICAN,7525,9595
AL,BLOUNT,DEMOCRAT,2640,27588
AL,BLOUNT,OTHER,237,27588
AL,BLOUNT,REPUBLICAN,24711,27588
AL,BULLOCK,DEMOCRAT,3446,4613
AL,BULLOCK,OTHER,21,4613
AL,BULLOCK,REPUBLICAN,1146,4613
AL,BUTLER,DEMOCRAT,3965,9488
AL,BUTLER,OTHER,65,9488
AL,BUTLER,REPUBLICAN,5458,9488
AL,CALHOUN,DEMOCRAT,15216,50983
AL,CALHOUN,OTHER,666,50983
AL,CALHOUN,REPUBLICAN,35101,50983
AL,CHAMBERS,DEMOCRAT,6365,15284
AL,CHAMBERS,OTHER,166,15284
AL,CHAMBERS,REPUBLICAN,8753,15284
AL,CHEROKEE,DEMOCRAT,1624,12301
AL,CHEROKEE,OTHER,94,12301
AL,CHEROKEE,REPUBLICAN,10583,12301
AL,CHILTON,DEMOCRAT,3073,19310
AL,CHILTON,OTHER,152,19310
AL,CHILTON,REPUBLICAN,16085,19310
AL,CHOCTAW,DEMOCRAT,3127,7464
AL,CHOCTAW,OTHER,41,7464
AL,CHOCTAW,REPUBLICAN,4296,7464
AL,CLARKE,DEMOCRAT,5755,13135
AL,CLARKE,OTHER,56,13135
AL,CLARKE,REPUBLICAN,7324,13135
AL,CLAY,DEMOCRAT,1267,6930
AL,CLAY,OTHER,62,6930
AL,CLAY,REPUBLICAN,5601,6930
AL,CLEBURNE,DEMOCRAT,675,7227
AL,CLEBURNE,OTHER,68,7227
AL,CLEBURNE,REPUBLICAN,6484,7227
AL,COFFEE,DEMOCRAT,5076,22275
AL,COFFEE,OTHER,300,22275
AL,COFFEE,REPUBLICAN,16899,22275
AL,COLBERT,DEMOCRAT,8343,27886
AL,COLBERT,OTHER,340,27886
AL,COLBERT,REPUBLICAN,19203,27886
AL,CONECUH,DEMOCRAT,2966,6441
AL,CONECUH,OTHER,33,6441
AL,CONECUH,REPUBLICAN,3442,6441
AL,COOSA,DEMOCRAT,1796,5479
AL,COOSA,OTHER,52,5479
AL,COOSA,REPUBLICAN,3631,5479
AL,COVINGTON,DEMOCRAT,2721,17430
AL,COVINGTON,OTHER,123,17430
AL,COVINGTON,REPUBLICAN,14586,17430
AL,CRENSHAW,DEMOCRAT,1700,6617
AL,CRENSHAW,OTHER,53,6617
AL,CRENSHAW,REPUBLICAN,4864,6617
AL,CULLMAN,DEMOCRAT,4478,41851
AL,CULLMAN,OTHER,493,41851
AL,CULLMAN,REPUBLICAN,36880,41851
AL,DALE,DEMOCRAT,5170,19738
AL,DALE,OTHER,265,19738
AL,DALE,REPUBLICAN,14303,19738
AL,DALLAS,DEMOCRAT,12230,17864
AL,DALLAS,OTHER,110,17864
AL,DALLAS,REPUBLICAN,5524,17864
AL,DEKALB,DEMOCRAT,4281,29356
AL,DEKALB,OTHER,308,29356
AL,DEKALB,REPUBLICAN,24767,29356
AL,ELMORE,DEMOCRAT,10367,41030
AL,ELMORE,OTHER,499,41030
AL,ELMORE,REPUBLICAN,30164,41030
AL,ESCAMBIA,DEMOCRAT,4918,15910
AL,ESCAMBIA,OTHER,123,15910
AL,ESCAMBIA,REPUBLICAN,10869,15910
AL,ETOWAH,DEMOCRAT,11567,47728
AL,ETOWAH,OTHER,633,47728
AL,ETOWAH,REPUBLICAN,35528,47728
AL,FAYETTE,DEMOCRAT,1395,8766
AL,FAYETTE,OTHER,71,8766
AL,FAYETTE,REPUBLICAN,7300,8766
AL,FRANKLIN,DEMOCRAT,2086,12578
AL,FRANKLIN,OTHER,116,12578
AL,FRANKLIN,REPUBLICAN,10376,12578
AL,GENEVA,DEMOCRAT,1595,12545
AL,GENEVA,OTHER,102,12545
AL,GENEVA,REPUBLICAN,10848,12545
AL,GREENE,DEMOCRAT,3884,4775
AL,GREENE,OTHER,16,4775
AL,GREENE,REPUBLICAN,875,4775
AL,HALE,DEMOCRAT,4663,7900
AL,HALE,OTHER,45,7900
AL,HALE,REPUBLICAN,3192,7900
AL,HENRY,DEMOCRAT,2606,9298
AL,HENRY,OTHER,85,9298
AL,HENRY,REPUBLICAN,6607,9298
AL,HOUSTON,DEMOCRAT,12917,46173
AL,HOUSTON,OTHER,638,46173
AL,HOUSTON,REPUBLICAN,32618,46173
AL,JACKSON,DEMOCRAT,3717,23636
AL,JACKSON,OTHER,249,23636
AL,JACKSON,REPUBLICAN,19670,23636
AL,JEFFERSON,DEMOCRAT,181688,325848
AL,JEFFERSON,OTHER,5317,325848
AL,JEFFERSON,REPUBLICAN,138843,325848
AL,LAMAR,DEMOCRAT,978,7193
AL,LAMAR,OTHER,41,7193
AL,LAMAR,REPUBLICAN,6174,7193
AL,LAUDERDALE,DEMOCRAT,11915,44339
AL,LAUDERDALE,OTHER,703,44339
AL,LAUDERDALE,REPUBLICAN,31721,44339
AL,LAWRENCE,DEMOCRAT,3562,16031
AL,LAWRENCE,OTHER,147,16031
AL,LAWRENCE,REPUBLICAN,12322,16031
AL,LEE,DEMOCRAT,27860,71449
AL,LEE,OTHER,1368,71449
AL,LEE,REPUBLICAN,42221,71449
AL,LIMESTONE,DEMOCRAT,13672,49235
AL,LIMESTONE,OTHER,923,49235
AL,LIMESTONE,REPUBLICAN,34640,49235
AL,LOWNDES,DEMOCRAT,4972,6835
