state,state_po,candidate,party_simplified,candidatevotes,totalvotes
Alabama,AL,"BIDEN, JOSEPH R. JR",DEMOCRAT,849624,2323282
Alabama,AL,"TRUMP, DONALD J.",REPUBLICAN,1441170,2323282
Alabama,AL,"JORGENSEN, JO",LIBERTARIAN,25176,2323282
Alabama,AL,,OTHER,7312,2323282
Alaska,AK,"BIDEN, JOSEPH R. JR",DEMOCRAT,153778,359530
Alaska,AK,"TRUMP, DONALD J.",REPUBLICAN,189951,359530
Alaska,AK,"JORGENSEN, JO",LIBERTARIAN,8897,359530
Alaska,AK,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,318,359530
Alaska,AK,"PIERCE, BROCK",OTHER,825,359530
Alaska,AK,"JANOS, JAMES G. ""JESSE VENTURA""",OTHER,2673,359530
Alaska,AK,"BLANKENSHIP, DON",OTHER,1127,359530
Alaska,AK,,OTHER,1961,359530
Arizona,AZ,"BIDEN, JOSEPH R. JR",DEMOCRAT,1672143,3387326
Arizona,AZ,"TRUMP, DONALD J.",REPUBLICAN,1661686,3387326
Arizona,AZ,"JORGENSEN, JO",LIBERTARIAN,51465,3387326
Arizona,AZ,"LA RIVA, GLORIA ESTELLA",OTHER,190,3387326
Arizona,AZ,"CUMMINGS, DANIEL CLYDE",OTHER,36,3387326
Arizona,AZ,"SIMMONS, JADE",OTHER,236,3387326
Arizona,AZ,"BODDIE, R. PRESIDENT",OTHER,13,3387326
Arizona,AZ,"HAWKINS, HOWIE",OTHER,1557,3387326
Arkansas,AR,"CARROLL, BRIAN",OTHER,1713,1219069
Arkansas,AR,"BLANKENSHIP, DON",OTHER,2108,1219069
Arkansas,AR,"BIDEN, JOSEPH R. JR",DEMOCRAT,423932,1219069
Arkansas,AR,"HAWKINS, HOWIE",OTHER,2980,1219069
Arkansas,AR,"PIERCE, BROCK",OTHER,2141,1219069
Arkansas,AR,"GAMMON, C. L.",OTHER,1475,1219069
Arkansas,AR,"WEST, KANYE",OTHER,4099,1219069
