st_cty,vac_rate
AK Aleutians East Borough,72.3
AK Aleutians West Census Area,61.5
AK Anchorage Municipality,55.6
AK Bethel Census Area,56.5
AK Bristol Bay Borough,99.9
AK Denali Borough,48.6
AK Dillingham Census Area,43.3
AK Fairbanks North Star Borough,46.6
AK Haines Borough,61.7
AK Hoonah-Angoon Census Area,65.7
AK Juneau City and Borough,66.9
AK Kenai Peninsula Borough,40.7
AK Ketchikan Gateway Borough,56.9
AK Kodiak Island Borough,55.8
AK Kusilvak Census Area,58
AK Lake and Peninsula Borough,55.2
AK Matanuska-Susitna Borough,32
AK Nome Census Area,60.9
AK North Slope Borough,32.4
AK Northwest Arctic Borough,48.3
AK Petersburg Census Area,65.7
AK Prince of Wales-Hyder Census Area,50.2
AK Sitka City and Borough,67
AK Skagway Municipality,66.6
AK Southeast Fairbanks Census Area,27.7
AK Unknown County,0
AK Valdez-Cordova Census Area,51
AK Wrangell City and Borough,49.6
AK Yakutat City and Borough,67.9
AK Yukon-Koyukuk Census Area,61.4
AL Autauga County,35
AL Baldwin County,42.2
AL Barbour County,35.4
AL Bibb County,30.3
AL Blount County,24.9
AL Bullock County,44.4
AL Butler County,35.3
AL Calhoun County,38.3
AL Chambers County,26.1
AL Cherokee County,27.2
AL Chilton County,28.9
AL Choctaw County,54.4
AL Clarke County,41.7
AL Clay County,35.7
AL Cleburne County,25.7
AL Coffee County,31.6
AL Colbert County,41.5
AL Conecuh County,38.4
AL Coosa County,35.3
AL Covington County,30.8
AL Crenshaw County,30.2
AL Cullman County,31.7
AL Dale County,42.8
AL Dallas County,39.1
AL DeKalb County,27
AL Elmore County,38.3
AL Escambia County,30.3
AL Etowah County,33.9
AL Fayette County,29.1
AL Franklin County,37.4
AL Geneva County,31.7
AL Greene County,45
AL Hale County,50.7
AL Henry County,38
AL Houston County,35.7
AL Jackson County,39.8
AL Jefferson County,51.4
AL Lamar County,35.2
AL Lauderdale County,42.1
AL Lawrence County,39.1
AL Lee County,34
AL Limestone County,29.8
AL Lowndes County,45.3
AL Macon County,42.7
AL Madison County,52.8
AL Marengo County,45.7
AL Marion County,29.8
AL Marshall County,35.7
AL Mobile County,39.5
AL Monroe County,36.5
AL Montgomery County,46.8
AL Morgan County,36.7
AL Perry County,42
AL Pickens County,41.2
AL Pike County,34.6
AL Randolph County,28.3
AL Russell County,33.2
AL Shelby County,31.2
AL St. Clair County,32.3
AL Sumter County,44.8
AL Talladega County,31.3
AL Tallapoosa County,33.4
AL Tuscaloosa County,37
AL Unknown County,0
AL Walker County,39.5
AL Washington County,35.3
AL Wilcox County,46.9
AL Winston County,18.8
AR Arkansas County,46.5
AR Ashley County,40.7
AR Baxter County,41.8
AR Benton County,44.5
AR Boone County,32
AR Bradley County,47.9
AR Calhoun County,29.7
AR Carroll County,36.6
AR Chicot County,46
AR Clark County,42.2
AR Clay County,38.3
AR Cleburne County,38.5
AR Cleveland County,43.6
AR Columbia County,39.2
AR Conway County,46.1
AR Craighead County,36.9
AR Crawford County,36.2
AR Crittenden County,34.3
AR Cross County,41.1
AR Dallas County,48.4
AR Desha County,50.4
AR Drew County,40.5
AR Faulkner County,42
AR Franklin County,38.9
AR Fulton County,27
AR Garland County,40.4
AR Grant County,39.2
AR Greene County,35.9
AR Hempstead County,25.6
AR Hot Spring County,36.2
AR Howard County,38.3
AR Independence County,33.8
AR Izard County,32.2
AR Jackson County,32.3
AR Jefferson County,36.6
AR Johnson County,38.5
AR Lafayette County,30.2
AR Lawrence County,36.9
AR Lee County,29.7
AR Lincoln County,28.2
AR Little River County,24.3
AR Logan County,37.5
AR Lonoke County,40.2
AR Madison County,35.2
AR Marion County,31.8
AR Miller County,11.4
AR Mississippi County,32.4
AR Monroe County,47.9
AR Montgomery County,32.1
AR Nevada County,33.3
AR Newton County,29.8
AR Ouachita County,44.5
AR Perry County,44.4
AR Phillips County,38.5
AR Pike County,36.5
AR Poinsett County,36.4
AR Polk County,29.2
AR Pope County,40.8
AR Prairie County,37.6
AR Pulaski County,49.9
AR Randolph County,33.5
AR Saline County,42.2
AR Scott County,33.5
AR Searcy County,34.2
AR Sebastian County,37.1
AR Sevier County,33.1
AR Sharp County,34.1
AR St. Francis County,40.2
AR Stone County,33.2
AR Union County,42.4
AR Unknown County,0
AR Van Buren County,37
AR Washington County,46.4
AR White County,38.5
AR Woodruff County,47.8
AR Yell County,36.7
AS Unknown County,0
AZ Apache County,69.8
AZ Cochise County,54.3
AZ Coconino County,68.9
AZ Gila County,53.1
AZ Graham County,50.9
AZ Greenlee County,36.1
AZ La Paz County,43.5
AZ Maricopa County,49.9
AZ Mohave County,38.3
AZ Navajo County,59.2
AZ Pima County,60.3
AZ Pinal County,44.7
AZ Santa Cruz County,87
AZ Unknown County,0
AZ Yavapai County,44.9
AZ Yuma County,57.5
CA Alameda County,72.3
