Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US
07/30/2021,Race_eth_Hispanic,18072353,16.4,0,16125277,34.6,30.9,15.6,0
07/30/2021,Ages_75+_yrs,18716256,10.7,0,16668286,87.3,77.7,11,0
07/30/2021,Race_eth_NHAsian,6705245,6.1,0,6463015,38.2,36.8,6.3,0
07/30/2021,Race_eth_NHAIAN,1118043,1,0,959016,47.8,41,0.9,0
07/30/2021,Race_eth_unknown,65126802,59,0,48128931,0,0,46.6,0
07/30/2021,Ages_18-24_yrs,14759336,8.4,0,12120428,53.2,43.7,8,0
07/30/2021,Race_eth_known,110459462,0,62.9,103370350,0,0,0,68.2
07/30/2021,Sex_Male,82059619,47.2,0,70782903,55,47.5,47.1,0
07/30/2021,Ages_30-39_yrs,24389262,13.9,0,20795487,60.2,51.4,13.7,0
07/30/2021,Sex_unknown,1822731,1,0,1317135,0,0,0.9,0
07/30/2021,Ages_50-64_yrs,44811134,25.5,0,39459707,76.3,67.2,26,0
07/30/2021,Age_unknown,21345,0,0,4822,0,0,0,0
07/30/2021,Age_known,175564919,0,99,151494459,0,0,0,99
07/30/2021,Ages_<18yrs,9799375,5.6,0,7478139,14.8,11.3,4.9,0
07/30/2021,Ages_12-15_yrs,5869073,3.3,0,4337780,38.6,28.5,2.9,0
07/30/2021,Ages_18-29_yrs,25872323,14.7,0,21454515,52.4,43.5,14.2,0
07/30/2021,Race_eth_NHBlack,10486634,9.5,0,9338496,27.9,24.8,9,0
07/30/2021,Ages_25-39_yrs,35502249,20.2,0,30129574,57.2,48.6,19.9,0
07/30/2021,Ages_<12yrs,197586,0.1,0,122329,0.5,0.3,0.1,0
07/30/2021,Ages_40-49_yrs,24767216,14.1,0,21388560,66.8,57.7,14.1,0
07/30/2021,Ages_16-17_yrs,3732716,2.1,0,3018030,49.4,39.9,2,0
07/30/2021,Race_eth_NHNHOPI,340741,0.3,0,297325,38.2,33.3,0.3,0
07/30/2021,Race_eth_NHWhite,64740921,58.6,0,61832658,34.9,33.3,59.8,0
07/30/2021,US,175586264,0,0,151499281,0,0,0,0
07/30/2021,Sex_known,173763533,0,99,150182146,0,0,0,99.1
07/30/2021,Race_eth_NHMult_Oth,8995525,8.1,0,8354563,130.4,121.1,8.1,0
07/30/2021,Ages_65-74_yrs,27209353,15.5,0,24249765,91.7,81.8,16,0
07/30/2021,Sex_Female,91703914,52.8,0,79399243,59.6,51.6,52.9,0
07/29/2021,Race_eth_NHNHOPI,339610,0.3,0,296569,38.1,33.3,0.3,0
07/29/2021,Ages_75+_yrs,18701189,10.7,0,16657124,87.2,77.7,11,0
07/29/2021,Race_eth_unknown,64996385,59,0,48062229,0,0,46.6,0
07/29/2021,Ages_65-74_yrs,27178475,15.5,0,24229679,91.6,81.7,16,0
07/29/2021,Race_eth_known,110082754,0,62.9,103148575,0,0,0,68.2
07/29/2021,US,175079139,0,0,151210804,0,0,0,0
07/29/2021,Ages_<18yrs,9704764,5.5,0,7428441,14.6,11.2,4.9,0
07/29/2021,Age_unknown,21324,0,0,4817,0,0,0,0
07/29/2021,Race_eth_NHBlack,10423529,9.5,0,9307966,27.7,24.7,9,0
07/29/2021,Ages_16-17_yrs,3706230,2.1,0,3004061,49,39.7,2,0
07/29/2021,Ages_<12yrs,197412,0.1,0,122244,0.5,0.3,0.1,0
07/29/2021,Sex_known,173259344,0,99,149895183,0,0,0,99.1
07/29/2021,Ages_18-24_yrs,14692043,8.4,0,12077767,52.9,43.5,8,0
07/29/2021,Race_eth_Hispanic,17979891,16.3,0,16065404,34.4,30.8,15.6,0
07/29/2021,Ages_18-29_yrs,25764887,14.7,0,21389640,52.2,43.3,14.1,0
07/29/2021,Race_eth_NHAsian,6691468,6.1,0,6451139,38.1,36.8,6.3,0
07/29/2021,Race_eth_NHMult_Oth,8965398,8.1,0,8334157,129.9,120.8,8.1,0
07/29/2021,Race_eth_NHAIAN,1113814,1,0,956651,47.6,40.9,0.9,0
07/29/2021,Sex_Male,81810429,47.2,0,70641474,54.9,47.4,47.1,0
07/29/2021,Ages_40-49_yrs,24691136,14.1,0,21347874,66.6,57.6,14.1,0
07/29/2021,Ages_50-64_yrs,44711827,25.5,0,39401800,76.2,67.1,26.1,0
07/29/2021,Age_known,175057815,0,99,151205987,0,0,0,99
07/29/2021,Ages_25-39_yrs,35378381,20.2,0,30063302,57,48.5,19.9,0
07/29/2021,Ages_30-39_yrs,24305537,13.9,0,20751429,60,51.3,13.7,0
07/29/2021,Sex_Female,91448915,52.8,0,79253709,59.4,51.5,52.9,0
07/29/2021,Race_eth_NHWhite,64569044,58.7,0,61736689,34.8,33.3,59.9,0
07/29/2021,Sex_unknown,1819795,1.1,0,1315621,0,0,0.9,0
07/29/2021,Ages_12-15_yrs,5801122,3.3,0,4302136,38.1,28.3,2.8,0
07/28/2021,Age_known,174662200,0,99,150952809,0,0,0,99
07/28/2021,Race_eth_known,109792316,0,62.9,102953044,0,0,0,68.2
07/28/2021,Ages_30-39_yrs,24240286,13.9,0,20712200,59.9,51.2,13.7,0
07/28/2021,Sex_known,172866133,0,99,149643046,0,0,0,99.1
07/28/2021,Ages_18-29_yrs,25680974,14.7,0,21334431,52,43.2,14.1,0
07/28/2021,Race_eth_NHAsian,6678892,6.1,0,6438711,38.1,36.7,6.3,0
07/28/2021,Ages_50-64_yrs,44634637,25.6,0,39349064,76,67,26.1,0
07/28/2021,Ages_65-74_yrs,27153411,15.5,0,24211043,91.5,81.6,16,0
07/28/2021,Race_eth_NHBlack,10379007,9.5,0,9283914,27.6,24.7,9,0
07/28/2021,Sex_Female,91250843,52.8,0,79125119,59.3,51.4,52.9,0
07/28/2021,Race_eth_NHNHOPI,338721,0.3,0,295915,38,33.2,0.3,0
07/28/2021,Sex_unknown,1817369,1.1,0,1314573,0,0,0.9,0
07/28/2021,Race_eth_NHAIAN,1110568,1,0,954838,47.4,40.8,0.9,0
07/28/2021,Age_unknown,21302,0,0,4810,0,0,0,0
07/28/2021,Ages_12-15_yrs,5748471,3.3,0,4272866,37.8,28.1,2.8,0
07/28/2021,Ages_40-49_yrs,24632937,14.1,0,21311799,66.5,57.5,14.1,0
07/28/2021,US,174683502,0,0,150957619,0,0,0,0
07/28/2021,Ages_25-39_yrs,35281967,20.2,0,30004896,56.9,48.4,19.9,0
07/28/2021,Race_eth_unknown,64891186,59.1,0,48004575,0,0,46.6,0
07/28/2021,Race_eth_NHMult_Oth,8941433,8.1,0,8316454,129.6,120.5,8.1,0
07/28/2021,Ages_<18yrs,9631337,5.5,0,7387112,14.5,11.1,4.9,0
07/28/2021,Race_eth_NHWhite,64438399,58.7,0,61650889,34.7,33.2,59.9,0
07/28/2021,Ages_<12yrs,197303,0.1,0,122147,0.5,0.3,0.1,0
07/28/2021,Ages_18-24_yrs,14639293,8.4,0,12041735,52.7,43.4,8,0
07/28/2021,Sex_Male,81615290,47.2,0,70517927,54.7,47.3,47.1,0
07/28/2021,Race_eth_Hispanic,17905296,16.3,0,16012323,34.3,30.7,15.6,0
07/28/2021,Ages_75+_yrs,18688618,10.7,0,16647160,87.2,77.6,11,0
07/28/2021,Ages_16-17_yrs,3685563,2.1,0,2992099,48.8,39.6,2,0
07/27/2021,Ages_16-17_yrs,3661844,2.1,0,2981601,48.4,39.4,2,0
07/27/2021,Race_eth_unknown,64787105,59.2,0,47958222,0,0,46.7,0
07/27/2021,Race_eth_NHWhite,64283213,58.7,0,61559373,34.7,33.2,59.9,0
07/27/2021,Race_eth_Hispanic,17827059,16.3,0,15965463,34.1,30.6,15.5,0
07/27/2021,Ages_18-24_yrs,14582434,8.4,0,12008006,52.5,43.3,8,0
07/27/2021,Ages_40-49_yrs,24562726,14.1,0,21273854,66.3,57.4,14.1,0
07/27/2021,US,174229313,0,0,150703425,0,0,0,0
07/27/2021,Race_eth_NHBlack,10307773,9.4,0,9248651,27.4,24.6,9,0
07/27/2021,Ages_<18yrs,9545486,5.5,0,7348906,14.4,11.1,4.9,0
07/27/2021,Sex_Male,81391111,47.2,0,70393976,54.6,47.2,47.1,0
07/27/2021,Race_eth_NHMult_Oth,8914654,8.1,0,8299721,129.2,120.3,8.1,0
07/27/2021,Race_eth_NHAIAN,1107751,1,0,953405,47.3,40.7,0.9,0
07/27/2021,Ages_30-39_yrs,24165313,13.9,0,20671686,59.7,51.1,13.7,0
07/27/2021,Ages_75+_yrs,18675607,10.7,0,16636765,87.1,77.6,11,0
07/27/2021,Ages_25-39_yrs,35171816,20.2,0,29944821,56.7,48.3,19.9,0
07/27/2021,Race_eth_NHNHOPI,337444,0.3,0,295204,37.8,33.1,0.3,0
07/27/2021,Sex_known,172415004,0,99,149390546,0,0,0,99.1
07/27/2021,Ages_12-15_yrs,5686482,3.3,0,4245229,37.4,27.9,2.8,0
07/27/2021,Race_eth_known,109442208,0,62.8,102745203,0,0,0,68.2
07/27/2021,Ages_18-29_yrs,25588937,14.7,0,21281141,51.8,43.1,14.1,0
07/27/2021,Sex_Female,91023893,52.8,0,78996570,59.1,51.3,52.9,0
07/27/2021,Ages_<12yrs,197160,0.1,0,122076,0.5,0.3,0.1,0
07/27/2021,Ages_50-64_yrs,44544176,25.6,0,39294578,75.9,66.9,26.1,0
07/27/2021,Sex_unknown,1814309,1.1,0,1312879,0,0,0.9,0
07/27/2021,Age_unknown,21264,0,0,4795,0,0,0,0
07/27/2021,Race_eth_NHAsian,6664314,6.1,0,6423386,38,36.6,6.3,0
07/27/2021,Age_known,174208049,0,99,150698630,0,0,0,99
07/27/2021,Ages_65-74_yrs,27125804,15.6,0,24191700,91.5,81.6,16.1,0
07/26/2021,Ages_30-39_yrs,24124512,13.9,0,20650769,59.6,51,13.7,0
07/26/2021,Age_known,173974396,0,99,150574669,0,0,0,99
07/26/2021,Ages_75+_yrs,18670490,10.7,0,16633398,87.1,77.6,11,0
