st_cty,low,med,high,tot_hesi
AL Autauga County,0.22,0.17,0.13,0.52
AL Baldwin County,0.2,0.15,0.12,0.47
AL Barbour County,0.23,0.17,0.13,0.53
AL Bibb County,0.25,0.18,0.14,0.57
AL Blount County,0.24,0.19,0.14,0.57
AL Bullock County,0.23,0.17,0.13,0.53
AL Butler County,0.23,0.18,0.13,0.54
AL Calhoun County,0.24,0.18,0.14,0.56
AL Chambers County,0.24,0.18,0.14,0.56
AL Cherokee County,0.24,0.18,0.14,0.56
AL Chilton County,0.24,0.18,0.14,0.56
AL Choctaw County,0.24,0.17,0.13,0.54
AL Clarke County,0.24,0.17,0.13,0.54
AL Clay County,0.24,0.18,0.14,0.56
AL Cleburne County,0.24,0.18,0.14,0.56
AL Coffee County,0.23,0.18,0.13,0.54
AL Colbert County,0.23,0.17,0.13,0.53
AL Conecuh County,0.24,0.17,0.13,0.54
AL Coosa County,0.24,0.18,0.14,0.56
AL Covington County,0.23,0.18,0.13,0.54
AL Crenshaw County,0.23,0.18,0.13,0.54
AL Cullman County,0.23,0.18,0.14,0.55
AL Dale County,0.24,0.18,0.13,0.55
AL Dallas County,0.25,0.18,0.14,0.57
AL DeKalb County,0.25,0.19,0.15,0.59
AL Elmore County,0.22,0.17,0.13,0.52
AL Escambia County,0.24,0.17,0.13,0.54
AL Etowah County,0.24,0.18,0.14,0.56
AL Fayette County,0.24,0.19,0.14,0.57
AL Franklin County,0.23,0.17,0.13,0.53
AL Geneva County,0.24,0.18,0.13,0.55
AL Greene County,0.25,0.18,0.14,0.57
AL Hale County,0.25,0.18,0.14,0.57
AL Henry County,0.24,0.18,0.13,0.55
AL Houston County,0.24,0.18,0.13,0.55
AL Jackson County,0.25,0.19,0.15,0.59
AL Jefferson County,0.2,0.15,0.11,0.46
AL Lamar County,0.24,0.19,0.14,0.57
AL Lauderdale County,0.23,0.17,0.13,0.53
AL Lawrence County,0.22,0.17,0.13,0.52
AL Lee County,0.19,0.14,0.11,0.44
AL Limestone County,0.2,0.16,0.12,0.48
AL Lowndes County,0.22,0.17,0.13,0.52
AL Macon County,0.23,0.17,0.13,0.53
AL Madison County,0.19,0.14,0.11,0.44
AL Marengo County,0.25,0.18,0.14,0.57
AL Marion County,0.24,0.18,0.14,0.56
AL Marshall County,0.21,0.16,0.12,0.49
AL Mobile County,0.23,0.17,0.13,0.53
AL Monroe County,0.24,0.17,0.13,0.54
AL Montgomery County,0.21,0.15,0.11,0.47
AL Morgan County,0.22,0.17,0.13,0.52
