county,state,low,med,high
Autauga,AL,0.22,0.17,0.13
Baldwin,AL,0.20,0.15,0.12
Barbour,AL,0.23,0.17,0.13
Bibb,AL,0.25,0.18,0.14
Blount,AL,0.24,0.19,0.14
Bullock,AL,0.23,0.17,0.13
Butler,AL,0.23,0.18,0.13
Calhoun,AL,0.24,0.18,0.14
Chambers,AL,0.24,0.18,0.14
Cherokee,AL,0.24,0.18,0.14
Chilton,AL,0.24,0.18,0.14
Choctaw,AL,0.24,0.17,0.13
Clarke,AL,0.24,0.17,0.13
Clay,AL,0.24,0.18,0.14
Cleburne,AL,0.24,0.18,0.14
Coffee,AL,0.23,0.18,0.13
Colbert,AL,0.23,0.17,0.13
Conecuh,AL,0.24,0.17,0.13
Coosa,AL,0.24,0.18,0.14
Covington,AL,0.23,0.18,0.13
Crenshaw,AL,0.23,0.18,0.13
Cullman,AL,0.23,0.18,0.14
Dale,AL,0.24,0.18,0.13
Dallas,AL,0.25,0.18,0.14
DeKalb,AL,0.25,0.19,0.15
Elmore,AL,0.22,0.17,0.13
Escambia,AL,0.24,0.17,0.13
Etowah,AL,0.24,0.18,0.14
Fayette,AL,0.24,0.19,0.14
Franklin,AL,0.23,0.17,0.13
Geneva,AL,0.24,0.18,0.13
Greene,AL,0.25,0.18,0.14
Hale,AL,0.25,0.18,0.14
Henry,AL,0.24,0.18,0.13
Houston,AL,0.24,0.18,0.13
Jackson,AL,0.25,0.19,0.15
Jefferson,AL,0.20,0.15,0.11
Lamar,AL,0.24,0.19,0.14
Lauderdale,AL,0.23,0.17,0.13
Lawrence,AL,0.22,0.17,0.13
Lee,AL,0.19,0.14,0.11
Limestone,AL,0.20,0.16,0.12
Lowndes,AL,0.22,0.17,0.13
Macon,AL,0.23,0.17,0.13
Madison,AL,0.19,0.14,0.11
Marengo,AL,0.25,0.18,0.14
Marion,AL,0.24,0.18,0.14
Marshall,AL,0.21,0.16,0.12
Mobile,AL,0.23,0.17,0.13
Monroe,AL,0.24,0.17,0.13
Montgomery,AL,0.21,0.15,0.11
Morgan,AL,0.22,0.17,0.13
Perry,AL,0.25,0.18,0.14
Pickens,AL,0.22,0.17,0.13
Pike,AL,0.23,0.17,0.13
Randolph,AL,0.24,0.18,0.14
Russell,AL,0.23,0.17,0.13
St. Clair,AL,0.24,0.19,0.14
Shelby,AL,0.18,0.14,0.11
Sumter,AL,0.25,0.18,0.14
Talladega,AL,0.24,0.18,0.14
Tallapoosa,AL,0.24,0.18,0.14
Tuscaloosa,AL,0.22,0.16,0.12
Walker,AL,0.24,0.19,0.14
Washington,AL,0.24,0.17,0.13
Wilcox,AL,0.24,0.17,0.13
Winston,AL,0.23,0.18,0.14
Aleutians East Borough,AK,0.29,0.24,0.17
Aleutians West Census Area,AK,0.29,0.24,0.17
Anchorage Borough,AK,0.20,0.16,0.12
Bethel Census Area,AK,0.29,0.24,0.17
Bristol Bay Borough,AK,0.29,0.24,0.17
Denali Borough,AK,0.23,0.19,0.14
Dillingham Census Area,AK,0.29,0.24,0.17
Fairbanks North Star Borough,AK,0.23,0.19,0.14
Haines Borough,AK,0.23,0.19,0.14
Hoonah-Angoon Census A,ea,0.29,0.24,0.17
Juneau Borough,AK,0.23,0.19,0.14
Kenai Peninsula Borough,AK,0.22,0.19,0.14
Ketchikan Gateway Borough,AK,0.23,0.19,0.14
Kodiak Island Borough,AK,0.29,0.24,0.17
Lake and Peninsula Borough,AK,0.29,0.24,0.17
Matanuska-Susitna Borough,AK,0.22,0.19,0.14
Nome Census Area,AK,0.29,0.24,0.17
North Slope Borough,AK,0.29,0.24,0.17
Northwest Arctic Borough,AK,0.29,0.24,0.17
Petersburg Census A,ea,0.29,0.24,0.17
Prince of Wales-Hyder Census A,ea,0.29,0.24,0.17
Sitka Borough,AK,0.29,0.24,0.17
Skagway Municipal,ty,0.23,0.19,0.14
Southeast Fairbanks Census Area,AK,0.23,0.19,0.14
Valdez-Cordova Census Area,AK,0.23,0.19,0.14
Wade Hampton Census Area AK ,D),0.29,0.24,0.17
Wrangell City and Boro,gh,0.29,0.24,0.17
Yakutat Boro,gh,0.29,0.24,0.17
Yukon-Koyukuk Census Area,AK,0.29,0.24,0.17
Apache,AZ,0.32,0.21,0.16
Cochise,AZ,0.22,0.14,0.11
Coconino,AZ,0.25,0.16,0.12
Gila,AZ,0.24,0.16,0.13
Graham,AZ,0.24,0.16,0.13
Greenlee,AZ,0.24,0.16,0.13
La Paz,AZ,0.23,0.15,0.12
Maricopa,AZ,0.21,0.14,0.10
Mohave,AZ,0.23,0.15,0.12
Navajo,AZ,0.32,0.21,0.16
Pima,AZ,0.21,0.14,0.10
Pinal,AZ,0.24,0.16,0.13
