weight,err
"[ 1.07248138  0.          0.          0.          0.          0.
  0.          0.          0.         -2.44340187  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.         -1.66553347
  0.          0.         -1.66559652  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          1.91304348  0.          0.89296757
  0.          0.          0.        ]",90.41230840113137
"[ 0.97194736  0.          0.          0.20427237  0.          0.
  0.          0.          0.         -2.39940205  0.          0.
  0.          0.          0.         -0.61044033  0.          0.
  0.          0.          0.          0.          0.         -1.67181653
  0.85221611  0.         -1.26024675  0.          0.          0.
  0.          0.          0.          0.          0.45402298  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.28134298  1.85524561  0.          0.87758985
  0.          0.          0.        ]",73.90118255498587
"[ 0.89807763  0.         -0.2485802   0.          0.          0.
  0.27790154  0.          0.         -2.20699334  0.          0.
  0.          0.          0.         -0.47004498 -0.31014184  0.
  0.          0.          0.          0.          0.         -1.43340572
  0.89453306  0.         -1.18077474  0.          0.          0.17242951
  0.          0.          0.          0.          0.58728022  0.
  0.18723173  0.          0.          0.          0.          0.
  0.          0.          0.30718465  1.6724517   0.          0.99588245
 -0.35161969  0.          0.        ]",80.9087696810586
"[ 0.89619755  0.          0.          0.          0.19236858  0.
  0.44072989  0.          0.19787573 -2.12567986 -0.25362891  0.
  0.          0.          0.22936768 -0.49976483 -0.07872342  0.
  0.          0.          0.          0.18813633  0.         -1.79166598
  1.21583631  0.         -1.55893038  0.31335422  0.          0.17125381
  0.          0.          0.          0.          0.73405234  0.
  0.1642074   0.          0.          0.          0.13652064  0.
  0.          0.          0.          1.597709    0.          0.94938847
 -0.35572413  0.          0.        ]",81.47606810391544
"[ 0.92257005  0.          0.          0.          0.13485189  0.
  0.          0.25418143  0.         -2.56886793  0.         -0.19901344
  0.          0.2516034   0.         -0.53464843 -0.25008458  0.
  0.         -0.23357764  0.          0.         -0.27100222 -1.3802717
  0.85270379  0.         -1.39603857  0.         -0.13472956  0.
  0.46847047  0.          0.18905375 -0.166523    0.67442417 -0.33741961
  0.20522902  0.          0.         -0.50560087  0.25338932  0.
  0.          0.          0.32230929  1.60927683  0.          1.11877177
 -0.41531139  0.          0.        ]",82.30937120968608
"[ 0.98784728  0.          0.          0.          0.1694994  -0.17879897
  0.          0.3385311   0.         -2.47183927  0.          0.
 -0.17448965  0.          0.10373208 -0.44322481 -0.1540054   0.
  0.2132896   0.          0.25619161  0.         -0.37797785 -1.34765461
  0.86020315  0.         -1.4832667   0.30938299 -0.12450231  0.17670905
  0.57364675  0.          0.12350606  0.          0.83132564 -0.54352693
  0.4324569   0.          0.         -0.56666091  0.22644701  0.
  0.2409462   0.          0.2501084   1.71420285  0.          1.06593896
 -0.37836701  0.         -0.13762801]",84.42269947284368
"[ 0.9357508   0.          0.          0.14238595  0.19244421 -0.18351051
 -0.24839691  0.36970674  0.         -2.72383494  0.23641003 -0.22755963
 -0.21671178  0.38062478  0.14080165 -0.43207585 -0.20305031  0.
  0.30521689  0.          0.62040167  0.         -0.33832431 -1.22701912
  0.67491643  0.         -1.4846977   0.         -0.14399474  0.1341565
  0.31205724 -0.2435981   0.38651633  0.          1.02598904 -0.60878702
  0.21056746  0.          0.         -0.86614419  0.23695898 -0.45323561
  0.          0.          0.25185048  1.69119118  0.          1.1587936
 -0.18612853  0.24436583  0.        ]",84.15385385073381
"[ 0.92764786  0.          0.14809104  0.32308097  0.29852181  0.
  0.          0.37958319  0.         -2.66698207  0.73227148  0.18188877
 -0.45372069  0.65275852  0.43518747 -0.25244035 -0.23095928  0.45538251
  0.50592206  0.64759049  0.94689077  0.         -0.40768158 -1.14369279
  0.76701502  0.         -1.62443429  0.         -0.13583529  0.45342507
  0.11890624 -0.43116659  0.67587961  0.          1.37841461 -0.50164592
  0.25927625  0.48077325 -0.26812319 -1.13382116  0.45793981 -0.56115549
  0.36792847 -0.43261968  0.          1.80019757 -0.12271605  1.08214574
  0.          0.43032373 -0.34844696]",89.30723619935489
"[ 0.88218873  0.          0.17745334  0.59696503  0.34850307  0.05909577
 -0.54461403  0.88135076 -0.24627167 -3.08829304  1.27755817  0.35112432
 -0.72914404  0.96160988  0.45700486 -0.24703395 -0.22706536  1.01914635
  0.97085274  0.95293796  1.0301572   0.         -0.51019812 -1.00956326
  0.61694505  0.20399793 -1.49186971 -0.18260483 -0.55636854  0.44994421
  0.          0.          1.2437705  -0.05863781  1.43140044 -0.63901598
  0.21920269  0.4449675  -0.25398775 -1.47333547  0.87888753 -0.61895781
  0.96477885 -0.99892164  0.          1.94999133 -0.27573248  1.02648969
  0.53838831  0.90628805 -0.60184808]",87.4213250738723
"[ 0.92338028 -0.01850063  0.14451943  0.46037986  0.3306566  -0.02309297
 -0.35609099  0.79487619 -0.11974208 -2.87053552  0.79303264  0.0235019
 -0.56001952  0.65548378  0.39358044 -0.42232799 -0.17182718  0.50599437
  0.67690941  0.57594798  0.92550666  0.12288413 -0.51192387 -0.90857699
  0.73697324  0.09050231 -1.51489628  0.09864718 -0.43797105  0.30899581
  0.11975543 -0.17504784  0.89302963 -0.02086532  1.40940845 -0.63633931
  0.2714272   0.09857899 -0.13571575 -1.2426387   0.53839679 -0.50436133
  0.6047745  -0.61914172  0.1522469   1.814176   -0.12384882  1.03525694
  0.26334983  0.5178122  -0.28034727]",84.9779899862174
