weight,err
"[ 1.03711857  0.          0.          0.          0.          0.
  0.          0.          0.         -2.41687318  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.         -1.61103689
  0.          0.         -1.6632976   0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          1.88618196  0.          0.88491426
  0.          0.          0.        ]",-1248.100851185801
"[ 1.07468522  0.          0.          0.          0.          0.
  0.58178351  0.          0.         -1.13337412 -0.84415227  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.         -1.55332414
  0.98229031  0.         -1.30013376  0.          0.          0.42458904
  0.          0.          0.          0.          0.          0.86607465
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          1.13023746  0.          0.69847416
  0.          0.          0.        ]",-1750.3284868384962
"[ 0.98247817  0.         -0.52903101  0.          0.         -0.41513641
  0.4335377   0.          0.         -1.85703395  0.          0.
  0.          0.          0.          0.         -0.33724769  0.
  0.4932737   0.          0.          0.45461509  0.         -1.63729499
  0.87652441  0.         -0.71968185  0.          0.          0.
  0.          0.          0.          0.          0.38451082  0.
  0.          0.          0.         -0.61307922  0.          0.
 -0.37303214  0.          0.          1.82587921  0.          0.80524858
  0.          0.          0.        ]",-1067.3066714708366
"[ 1.0615302   0.          0.          0.99137848  0.          0.49120468
  0.          0.          0.         -1.38202984  0.          0.
 -0.610329    0.52023598  0.          0.35143598  0.         -0.36537521
  0.          0.         -0.44534528 -0.80796735  0.         -0.71987008
  0.49291578  0.         -1.25695149  0.          0.          0.
  0.60526353  0.          0.         -0.65963694  1.31126236  0.
  0.          0.          0.         -0.86366463  0.          0.
  0.3857737   0.          0.74391005  1.05423031  0.          0.
  0.          0.         -0.74424159]",-1264.4355895541673
"[ 0.77609861 -0.22744647  0.         -0.826378    0.5087961   0.
  0.88718004 -0.31672288  0.         -1.14860121  0.          0.
 -0.38247309  0.6213206   0.          0.         -0.22385726  0.
  0.          0.         -0.25468851  0.          0.         -1.36198912
  0.63347649  0.25300336 -1.58986644  0.45439296  0.          0.
  0.          0.41860199  0.          0.          0.57779461  0.
  0.53110088  0.71756788  0.          0.          0.          0.28705157
  0.          0.26603372  0.26513269  1.4570663   0.          1.28908367
 -0.37894311  0.          0.        ]",-1361.5500374762632
"[ 0.94862272  0.          0.          0.          0.          0.
  0.          0.29430874  0.         -2.40603982  0.         -0.22132327
 -0.14756534  0.84469204  0.         -0.55860379 -0.34028309  0.
  0.         -0.43361336  0.22022289 -0.28867876  0.         -0.98280278
  0.55069976  0.32432863 -1.26804804  0.         -0.32278225 -0.40378674
  0.21896821  0.          0.19754842  0.          0.85218065  0.
  0.28188938  0.          0.         -0.4144158   0.38579032  0.
  0.4655342  -0.45101241  0.64318357  1.46602724 -0.43843277  1.45789894
 -0.5306234   0.23126656  0.        ]",-1220.6514979489582
"[ 0.80810572  0.79995955  0.64555797  0.          0.          0.3182033
  0.          0.84582971  0.60954259 -1.79998431  1.69952617  0.66031605
 -0.43553284  0.          0.          0.97910152  0.          0.
  0.          0.         -1.20002646 -0.95355389  0.         -1.50044219
  0.97271174 -0.57707525 -0.68662807  0.92508898  0.27993433  0.
  0.83524123  1.18065851  0.         -0.46808817  1.31986119 -1.44608434
  1.30032064  0.4950601   0.         -0.88865164  0.          1.54337053
  2.59660929 -1.07196913  0.59104436  1.49993252 -1.8372043   0.
  0.42127126 -1.00581964 -1.28897806]",-1043.0595218732087
"[ 0.95783554 -0.21856928  0.72855427  0.          0.59000524  0.
  0.36601273  0.40640418 -0.23276836 -2.30285047  1.51112656  1.09910595
 -0.76650494  1.90968956  0.83231463  0.85740362 -0.39659026  1.8537141
  1.34119854  1.915014    1.594684    0.         -0.48276325 -0.85273887
  0.6882544   0.31897484 -2.2218199   0.         -0.18131243  0.60553622
  0.          0.          1.1717772   0.          1.49737034  0.
  0.          1.50993357 -1.13029594 -1.7659418   1.13257016 -0.73750005
  0.67424015 -0.799885   -0.53818208  1.92138063  0.          1.77398097
  0.37930588  1.12324566 -0.54262786]",-1210.842266234714
"[ 1.0477336   0.43510894 -0.59724586 -1.29161784 -1.4896799  -0.85172955
  0.         -0.21595643 -0.32471303  0.         -0.74928337 -0.47768809
  0.76161645 -0.32132449 -0.97729428 -0.40284448  0.12382026 -0.48950053
 -2.08761833 -0.92427188 -0.97145861 -1.70157549 -0.79950364  0.45202358
 -0.49956228  0.18342172  0.19828666  0.33543063  0.86243698  0.
  2.52696331 -0.6529212  -1.76305509 -0.20688182 -0.86250824 -0.87909063
  0.51082351  0.          0.78003833  1.26025941  0.30850714  2.19295662
  0.          1.6816745   0.74995416  0.39028139 -0.60313505  1.00316419
 -2.67036713 -1.31748933 -0.66345587]",-1042.4238337591737
"[ 0.7123972  -0.00659918 -0.418884   -1.40026312  0.71991189  0.88069775
  1.28183538  1.32039762  0.66368488 -0.2352044   2.02007738  1.52522209
 -0.2699717   1.96574611  1.4800542   1.45219137 -1.58361166  3.51281012
  1.86296924  2.74841223  0.63721391  0.37507769 -0.628509   -1.58820019
  0.8392492   0.50676806 -1.57730751  0.14592014 -0.50542279  1.07377414
 -1.61091419  1.51686794  2.33969202 -0.40914596  0.65229051  1.12037044
  0.56423774  1.1591263  -0.79719533 -0.93030778  2.39472935 -1.67112861
  0.98107088 -2.14032197 -1.49683083 -0.40536821  0.07169534  1.45068634
  1.50709314  1.18306876 -0.41520302]",-1061.7712760869554
